student_id,age,education_level,country
S465,45,Diploma,Australia
S466,34,PG,UK
S467,25,PG,Canada
S468,34,Diploma,USA
S469,39,UG,UK
S470,39,UG,USA
S471,39,UG,USA
S472,32,UG,Australia
S473,35,UG,India
S474,22,School,India
S475,43,School,USA
S476,41,UG,India
S477,18,PG,India
S478,36,UG,Australia
S479,39,Diploma,USA
S480,31,Diploma,UK
S481,33,School,Australia
S482,19,School,Canada
S483,20,School,USA
S484,29,UG,USA
S485,22,School,Canada
S486,25,Diploma,Canada
S487,38,Diploma,Canada
S488,31,Diploma,USA
S489,43,Diploma,Canada
S490,37,PG,UK
S491,42,PG,UK
S492,42,School,Australia
S493,22,PG,Australia
S494,29,School,Canada
S495,43,UG,Australia
S496,36,Diploma,Canada
S497,24,PG,UK
S498,20,UG,India
S499,44,UG,USA
S500,43,UG,Canada
S501,42,School,Canada
S502,40,Diploma,USA
S503,29,PG,UK
S504,18,UG,Australia
S505,27,PG,UK
S506,28,School,Canada
S507,20,Diploma,USA
S508,36,UG,Australia
S509,23,UG,Canada
S510,26,School,UK
S511,18,School,India
S512,18,UG,Australia
S513,22,Diploma,USA
S514,41,UG,USA
S515,27,Diploma,Canada
S516,43,PG,UK
S517,27,UG,UK
S518,29,PG,Canada
S519,27,PG,UK
S520,36,PG,India
S521,38,PG,India
S522,35,UG,UK
S523,26,UG,USA
S524,30,PG,Australia
S525,41,Diploma,India
S526,29,UG,USA
S527,35,Diploma,UK
S528,26,Diploma,UK
S529,24,UG,USA
S530,24,Diploma,Canada
S531,25,School,Australia
S532,22,Diploma,UK
S533,18,School,India
S534,33,PG,Canada
S535,41,PG,Canada
S536,33,PG,Australia
S537,39,PG,USA
S538,44,School,USA
S539,26,School,UK
S540,31,School,India
S541,31,Diploma,Canada
S542,38,School,USA
S543,31,PG,UK
S544,43,School,India
S545,41,PG,USA
S546,32,School,Australia
S547,22,School,UK
S548,33,School,India
S549,34,UG,USA
S550,36,School,Australia
S551,45,UG,UK
S552,34,UG,Canada
S553,39,PG,Australia
S554,45,Diploma,USA
S555,45,PG,UK
S556,44,School,India
S557,41,UG,India
S558,39,School,Canada
S559,42,Diploma,UK
S560,33,Diploma,Australia
S561,31,Diploma,UK
S562,43,UG,India
S563,41,School,Australia
S564,30,UG,USA
S565,30,Diploma,Australia
S566,36,Diploma,Canada
S567,21,Diploma,Canada
S568,30,PG,USA
S569,28,Diploma,India
S570,45,Diploma,UK
S571,43,UG,Canada
S572,30,PG,India
S573,34,School,Canada
S574,24,School,India
S575,19,PG,India
S576,36,School,USA
S577,42,PG,Australia
S578,32,UG,UK
S579,23,PG,UK
S580,18,PG,Australia
S581,27,Diploma,Australia
S582,33,School,USA
S583,18,PG,USA
S584,25,UG,India
S585,18,School,USA
S586,45,Diploma,India
S587,32,PG,India
S588,25,Diploma,India
S589,37,School,USA
S590,40,UG,USA
S591,27,UG,UK
S592,45,Diploma,Australia
S593,45,School,India
S594,38,Diploma,USA
S595,21,School,Australia
S596,44,Diploma,India
S597,24,PG,USA
S598,35,Diploma,USA
S599,40,School,Australia
S600,31,PG,UK
S601,38,PG,Australia
S602,43,PG,Australia
S603,42,School,Canada
S604,30,PG,Canada
S605,29,PG,USA
S606,43,PG,Australia
S607,23,Diploma,India
S608,31,UG,India
S609,25,PG,Australia
S610,33,PG,Canada
S611,41,School,USA
S612,32,UG,Canada
S613,42,School,USA
S614,45,PG,India
S615,20,Diploma,USA
S616,31,UG,UK
S617,33,UG,Canada
S618,19,UG,UK
S619,30,Diploma,Canada
S620,29,UG,Canada
S621,36,UG,India
S622,28,PG,USA
S623,18,School,Canada
S624,22,Diploma,Canada
S625,21,School,UK
S626,22,UG,Australia
S627,45,Diploma,UK
S628,36,Diploma,UK
S629,44,School,Australia
S630,40,UG,USA
S631,18,School,UK
S632,20,PG,UK
S633,23,School,USA
S634,28,Diploma,USA
S635,34,Diploma,Australia
S636,31,PG,Australia
S637,24,Diploma,Australia
S638,28,Diploma,Australia
S639,40,PG,India
S640,21,Diploma,UK
S641,38,UG,UK
S642,41,UG,India
S643,27,PG,USA
S644,31,Diploma,USA
S645,40,PG,Canada
S646,41,PG,USA
S647,35,PG,India
S648,36,PG,USA
S649,27,UG,Australia
S650,19,Diploma,Canada
S651,35,PG,Canada
S652,41,UG,UK
S653,24,PG,UK
S654,44,UG,India
S655,27,School,USA
S656,44,Diploma,UK
S657,37,Diploma,Canada
S658,42,Diploma,USA
S659,30,PG,Canada
S660,43,PG,Canada
S661,40,Diploma,Australia
S662,31,Diploma,Australia
S663,37,PG,UK
S664,31,Diploma,India
S665,30,PG,India
S666,39,UG,UK
S667,37,PG,India
S668,32,School,UK
S669,21,PG,USA
S670,21,PG,UK
S671,42,PG,Australia
S672,29,PG,UK
S673,39,UG,Australia
S674,45,Diploma,UK
S675,32,Diploma,India
S676,41,UG,Australia
S677,38,Diploma,USA
S678,36,UG,USA
S679,37,Diploma,USA
S680,44,PG,USA
S681,39,PG,Australia
S682,26,UG,Australia
S683,39,PG,Canada
S684,20,UG,Australia
S685,27,UG,USA
S686,39,Diploma,India
S687,23,UG,India
S688,34,PG,USA
S689,37,Diploma,Australia
S690,44,Diploma,UK
S691,27,School,UK
S692,21,PG,India
S693,35,UG,Australia
S694,19,School,USA
S695,42,Diploma,India
S696,19,PG,UK
S697,19,PG,UK
S698,19,Diploma,Australia
S699,39,UG,India
S700,45,PG,India
S701,20,School,USA
S702,45,PG,India
S703,25,School,USA
S704,41,School,Canada
S705,19,UG,USA
S706,40,PG,USA
S707,32,PG,India
S708,37,School,Australia
S709,39,PG,UK
S710,18,School,India
S711,37,UG,UK
S712,28,PG,Australia
S713,41,Diploma,India
S714,41,School,Canada
S715,37,PG,UK
S716,42,UG,Australia
S717,31,PG,UK
S718,24,UG,USA
S719,26,UG,Canada
S720,29,School,India
S721,44,School,Canada
S722,40,PG,Australia
S723,45,School,UK
S724,42,PG,Canada
S725,38,Diploma,UK
S726,30,PG,USA
S727,31,UG,Australia
S728,19,Diploma,USA
S729,19,School,USA
S730,22,PG,Canada
S731,26,PG,Australia
S732,22,Diploma,UK
S733,20,School,UK
S734,28,School,USA
S735,26,PG,India
S736,24,School,Australia
S737,19,Diploma,UK
S738,33,School,India
S739,27,PG,Australia
S740,19,UG,UK
S741,31,School,UK
S742,29,PG,UK
S743,33,School,Canada
S744,45,PG,UK
S745,24,Diploma,UK
S746,34,UG,Canada
S747,26,PG,Canada
S748,22,UG,Canada
S749,35,UG,India
S750,20,School,Canada
S751,19,PG,UK
S752,26,UG,Australia
S753,27,Diploma,Australia
S754,31,School,Canada
S755,25,School,UK
S756,45,PG,UK
S757,18,UG,USA
S758,44,PG,India
S759,30,Diploma,UK
S760,26,UG,UK
S761,23,Diploma,India
S762,19,Diploma,UK
S763,20,School,Australia
S764,20,School,USA
S765,42,UG,Canada
S766,31,School,India
S767,30,PG,India
S768,45,UG,Canada
S769,18,School,UK
S770,35,Diploma,Australia
S771,43,Diploma,UK
S772,22,PG,USA
S773,30,Diploma,Canada
S774,42,UG,UK
S775,42,PG,India
S776,34,Diploma,Australia
S777,23,School,India
S778,37,UG,UK
S779,37,School,Australia
S780,19,PG,India
S781,20,School,India
S782,25,School,Australia
S783,31,UG,India
S784,28,UG,Canada
S785,27,PG,Canada
S786,34,School,Canada
S787,27,UG,India
S788,30,UG,Australia
S789,34,School,Australia
S790,32,UG,Australia
S791,27,Diploma,UK
S792,43,Diploma,UK
S793,38,School,USA
S794,30,School,UK
S795,31,School,Australia
S796,27,School,Canada
S797,43,School,USA
S798,18,School,Australia
S799,20,Diploma,USA
S800,36,UG,Canada
S801,18,PG,India
S802,35,PG,India
S803,18,Diploma,USA
S804,25,UG,Australia
S805,30,School,India
S806,23,Diploma,UK
S807,19,Diploma,UK
S808,27,Diploma,Canada
S809,25,Diploma,Canada
S810,24,School,India
S811,42,Diploma,Australia
S812,23,UG,USA
S813,29,Diploma,UK
S814,29,School,UK
S815,37,School,Canada
S816,18,UG,USA
S817,37,Diploma,UK
S818,18,Diploma,USA
S819,44,Diploma,Canada
S820,22,Diploma,India
S821,40,UG,USA
S822,19,UG,India
S823,42,School,Canada
S824,44,School,USA
S825,26,UG,India
S826,31,UG,USA
S827,19,PG,UK
S828,42,PG,India
S829,43,UG,India
S830,25,Diploma,UK
S831,23,Diploma,Australia
S832,36,UG,India
S833,34,UG,USA
S834,41,Diploma,India
S835,23,Diploma,Canada
S836,20,Diploma,USA
S837,18,UG,USA
S838,18,School,USA
S839,40,School,Canada
S840,33,Diploma,Canada
S841,41,School,Canada
S842,37,PG,Canada
S843,40,PG,Canada
S844,45,UG,Canada
S845,36,PG,Australia
S846,18,Diploma,Australia
S847,35,UG,Canada
S848,26,School,India
S849,35,UG,India
S850,21,School,USA
S851,35,UG,UK
S852,39,Diploma,UK
S853,45,School,Australia
S854,21,School,India
S855,35,UG,USA
S856,31,UG,Australia
S857,34,UG,UK
S858,30,UG,UK
S859,42,PG,UK
S860,29,Diploma,India
S861,36,School,Australia
S862,30,PG,Canada
S863,40,UG,UK
S864,19,PG,Australia
S865,38,PG,UK
S866,32,School,Australia
S867,18,School,Canada
S868,45,UG,Canada
S869,25,Diploma,USA
S870,22,Diploma,Australia
S871,44,UG,Canada
S872,21,School,UK
S873,33,PG,UK
S874,26,UG,India
S875,33,School,UK
S876,39,School,Australia
S877,20,School,USA
S878,39,School,Canada
S879,44,UG,UK
S880,21,UG,Canada
S881,18,Diploma,USA
S882,33,School,Australia
S883,38,School,India
S884,37,School,Australia
S885,31,School,Australia
S886,23,Diploma,India
S887,19,School,USA
S888,22,School,Australia
S889,29,UG,USA
S890,18,UG,UK
S891,21,UG,India
S892,28,Diploma,Australia
S893,30,PG,USA
S894,39,School,Australia
S895,45,School,Australia
S896,33,UG,USA
S897,27,PG,India
S898,35,PG,Canada
S899,34,School,USA
S900,32,UG,USA
S901,27,School,Australia
S902,44,PG,Canada
S903,32,PG,UK
S904,30,PG,UK
S905,38,Diploma,Canada
S906,41,School,India
S907,28,School,Australia
S908,26,PG,India
S909,42,School,USA
S910,35,PG,USA
S911,24,PG,USA
S912,32,PG,USA
S913,22,Diploma,USA
S914,30,UG,Australia
S915,33,School,UK
S916,26,Diploma,Australia
S917,41,Diploma,India
S918,19,UG,UK
S919,25,Diploma,Australia
S920,35,Diploma,Canada
S921,29,School,USA
S922,26,UG,Australia
S923,42,UG,India
S924,41,PG,Canada
S925,23,Diploma,India
S926,26,Diploma,Canada
S927,32,UG,Canada
S928,23,PG,India
S929,33,UG,UK
S930,24,UG,USA
S931,29,UG,Australia
S932,44,School,Canada
S933,37,School,UK
S934,44,PG,Australia
S935,35,School,USA
S936,27,Diploma,UK
S937,38,School,Australia
S938,35,UG,Australia
S939,24,School,India
S940,18,School,USA
S941,41,Diploma,Australia
S942,30,PG,India
S943,31,School,Australia
S944,35,UG,Canada
S945,31,School,Australia
S946,44,UG,Australia
S947,38,School,India
S948,42,School,UK
S949,39,School,India
S950,21,School,Canada
S951,24,Diploma,India
S952,24,School,UK
S953,19,Diploma,Canada
S954,35,UG,UK
S955,32,School,Australia
S956,37,Diploma,India
S957,39,PG,USA
S958,26,School,Australia
S959,22,School,USA
S960,26,Diploma,India
S961,30,Diploma,UK
S962,36,School,Canada
S963,33,School,USA
S964,19,School,Canada
S965,26,UG,UK
S966,26,School,Canada
S967,42,Diploma,Canada
S968,22,Diploma,Canada
S969,34,School,USA
S970,32,PG,Australia
S971,34,School,Canada
S972,38,School,Australia
S973,36,Diploma,India
S974,39,School,Australia
S975,27,PG,USA
S976,34,Diploma,India
S977,40,PG,UK
S978,18,Diploma,Canada
S979,26,UG,India
S980,39,Diploma,Australia
S981,18,School,India
S982,41,UG,Canada
S983,25,UG,Canada
S984,43,Diploma,UK
S985,45,PG,Canada
S986,22,PG,Canada
S987,41,School,USA
S988,27,Diploma,Australia
S989,30,Diploma,USA
S990,39,Diploma,USA
S991,43,School,India
S992,42,School,India
S993,37,UG,USA
S994,36,UG,India
S995,38,School,Australia
S996,19,School,Canada
S997,24,School,India
S998,37,UG,UK
S999,28,UG,Australia
S1000,29,Diploma,UK
S1001,44,School,UK
S1002,31,UG,Australia
S1003,24,School,USA
S1004,27,School,Canada
S1005,21,UG,Canada
S1006,38,PG,India
S1007,32,UG,Canada
S1008,20,PG,India
S1009,26,School,USA
S1010,42,UG,Canada
S1011,45,School,UK
S1012,24,School,UK
S1013,35,Diploma,India
S1014,32,School,Canada
S1015,21,School,USA
S1016,22,School,India
S1017,44,Diploma,Australia
S1018,24,UG,Australia
S1019,24,Diploma,USA
S1020,43,School,India
S1021,23,Diploma,UK
S1022,20,Diploma,USA
S1023,38,School,India
S1024,44,UG,UK
S1025,43,School,UK
S1026,28,PG,USA
S1027,28,Diploma,Canada
S1028,30,School,UK
S1029,39,PG,Australia
S1030,44,UG,Australia
S1031,37,PG,UK
S1032,25,UG,UK
S1033,22,UG,USA
S1034,25,UG,USA
S1035,28,School,Australia
S1036,31,PG,UK
S1037,36,Diploma,USA
S1038,31,Diploma,Canada
S1039,30,School,UK
S1040,26,UG,India
S1041,33,School,USA
S1042,41,School,Canada
S1043,35,PG,Canada
S1044,40,School,India
S1045,42,UG,India
S1046,27,Diploma,USA
S1047,23,PG,Canada
S1048,39,UG,USA
S1049,29,PG,India
S1050,23,UG,Australia
S1051,24,Diploma,UK
S1052,28,Diploma,Australia
S1053,34,School,UK
S1054,25,UG,UK
S1055,22,Diploma,UK
S1056,19,UG,USA
S1057,37,Diploma,Australia
S1058,26,School,India
S1059,44,PG,USA
S1060,23,School,USA
S1061,45,School,India
S1062,31,UG,UK
S1063,37,Diploma,India
S1064,25,UG,Australia
S1065,39,UG,USA
S1066,37,UG,Australia
S1067,45,Diploma,Australia
S1068,30,Diploma,Australia
S1069,34,School,Australia
S1070,34,Diploma,USA
S1071,26,UG,Canada
S1072,25,UG,UK
S1073,28,Diploma,USA
S1074,43,Diploma,Canada
S1075,20,Diploma,USA
S1076,26,Diploma,USA
S1077,33,UG,Australia
S1078,26,PG,UK
S1079,28,Diploma,Australia
S1080,29,PG,USA
S1081,39,School,UK
S1082,37,Diploma,USA
S1083,30,UG,UK
S1084,41,Diploma,India
S1085,21,UG,UK
S1086,40,School,India
S1087,29,School,India
S1088,29,Diploma,UK
S1089,45,PG,India
S1090,20,School,USA
S1091,26,School,USA
S1092,43,School,Canada
S1093,26,UG,Australia
S1094,31,Diploma,Canada
S1095,41,UG,Australia
S1096,35,PG,UK
S1097,35,Diploma,Australia
S1098,41,UG,Canada
S1099,20,UG,UK
S1100,34,Diploma,Canada
S1101,22,Diploma,UK
S1102,23,School,UK
S1103,36,UG,Australia
S1104,38,Diploma,UK
S1105,43,Diploma,Australia
S1106,20,School,Canada
S1107,26,PG,Australia
S1108,36,UG,USA
S1109,41,School,USA
S1110,23,PG,India
S1111,20,PG,India
S1112,18,Diploma,USA
S1113,37,Diploma,UK
S1114,45,UG,UK
S1115,39,School,USA
S1116,41,Diploma,Canada
S1117,38,UG,USA
S1118,26,PG,Australia
S1119,32,School,Australia
S1120,33,UG,UK
S1121,39,UG,Australia
S1122,25,UG,Australia
S1123,40,School,Australia
S1124,43,PG,India
S1125,36,Diploma,USA
S1126,30,UG,USA
S1127,21,School,Canada
S1128,20,School,USA
S1129,32,PG,USA
S1130,38,PG,Australia
S1131,23,Diploma,Canada
S1132,41,UG,Canada
S1133,38,Diploma,Canada
S1134,45,UG,Australia
S1135,25,School,UK
S1136,41,School,UK
S1137,33,Diploma,India
S1138,34,UG,USA
S1139,45,UG,UK
S1140,39,UG,UK
S1141,43,School,USA
S1142,18,UG,UK
S1143,39,School,USA
S1144,45,School,UK
S1145,20,Diploma,USA
S1146,36,Diploma,UK
S1147,45,School,USA
S1148,18,School,India
S1149,22,School,UK
S1150,28,School,Australia
S1151,35,Diploma,USA
S1152,41,Diploma,Canada
S1153,42,Diploma,USA
S1154,36,Diploma,Australia
S1155,27,UG,India
S1156,43,PG,Canada
S1157,43,School,Australia
S1158,39,UG,Australia
S1159,36,School,USA
S1160,18,UG,Canada
S1161,32,Diploma,USA
S1162,36,PG,Australia
S1163,36,Diploma,Australia
S1164,27,UG,USA
S1165,36,Diploma,UK
S1166,23,Diploma,Australia
S1167,41,UG,Australia
S1168,31,UG,Australia
S1169,24,PG,India
S1170,29,School,UK
S1171,36,UG,UK
S1172,39,Diploma,UK
S1173,26,UG,Australia
S1174,45,Diploma,USA
S1175,29,Diploma,USA
S1176,30,School,India
S1177,32,Diploma,UK
S1178,33,PG,Australia
S1179,29,UG,India
S1180,22,School,UK
S1181,30,PG,Australia
S1182,24,School,India
S1183,40,Diploma,India
S1184,33,UG,UK
S1185,29,School,Canada
S1186,37,PG,USA
S1187,42,PG,Australia
S1188,33,School,UK
S1189,37,UG,Canada
S1190,28,PG,Australia
S1191,34,School,USA
S1192,41,UG,Australia
S1193,29,UG,UK
S1194,41,UG,USA
S1195,30,PG,Canada
S1196,37,Diploma,India
S1197,25,School,India
S1198,33,Diploma,Canada
S1199,33,PG,Australia
S1200,32,UG,Canada
S1201,24,PG,USA
S1202,21,Diploma,Canada
S1203,45,PG,UK
