student_id,course_id,total_login_days,avg_session_time_min,total_study_time_min,last_login_days_ago,device_type
S53,C5,19,30,3141,2,Mobile
S54,C24,48,26,3936,58,Tablet
S55,C15,10,60,4461,48,Mobile
S56,C18,44,45,665,31,Desktop
S57,C4,31,33,1148,12,Mobile
S58,C26,87,20,4868,11,Tablet
S59,C11,5,50,5651,24,Tablet
S60,C6,2,19,3604,38,Mobile
S61,C26,78,28,4293,30,Mobile
S62,C6,40,59,2725,59,Tablet
S63,C16,18,57,5824,3,Tablet
S64,C30,10,90,1623,10,Mobile
S65,C29,51,70,520,41,Mobile
S66,C3,52,88,2031,33,Mobile
S67,C7,84,85,3587,59,Mobile
S68,C22,92,87,4551,30,Desktop
S69,C24,99,51,4974,42,Desktop
S70,C14,6,71,557,41,Tablet
S71,C27,49,30,409,29,Tablet
S72,C5,87,61,345,35,Tablet
S73,C24,37,53,5885,9,Mobile
S74,C7,40,34,4690,37,Mobile
S75,C22,94,69,5036,10,Mobile
S76,C17,14,74,5643,48,Tablet
S77,C1,99,89,5870,24,Desktop
S78,C22,40,20,3920,11,Tablet
S79,C22,77,40,3767,35,Desktop
S80,C7,85,85,3498,49,Desktop
S81,C15,91,47,4362,43,Tablet
S82,C5,25,48,5655,25,Mobile
S83,C12,62,40,4366,43,Mobile
S84,C22,50,48,3385,19,Desktop
S85,C21,7,60,3794,34,Desktop
S86,C7,7,48,5262,4,Desktop
S87,C2,94,41,2759,32,Tablet
S88,C19,20,61,2715,49,Mobile
S89,C16,2,53,2659,17,Mobile
S90,C3,45,86,3947,36,Mobile
S91,C20,95,26,5393,36,Desktop
S92,C13,60,70,335,21,Mobile
S93,C28,26,20,3550,29,Tablet
S94,C4,64,47,4303,26,Tablet
S95,C1,96,56,904,39,Tablet
S96,C17,97,48,3993,8,Tablet
S97,C28,64,83,989,33,Tablet
S98,C21,5,14,2953,37,Tablet
S99,C6,77,58,5622,41,Desktop
S100,C16,84,37,2138,6,Desktop
S101,C21,43,23,5314,1,Desktop
S102,C11,73,30,1120,53,Mobile
S103,C6,39,78,5833,14,Mobile
S104,C30,5,26,1262,34,Mobile
S105,C10,87,75,2121,41,Mobile
S106,C2,44,66,1458,5,Tablet
S107,C19,8,17,1388,6,Tablet
S108,C17,25,60,1674,26,Mobile
S109,C18,69,85,2885,30,Desktop
S110,C29,19,85,1006,2,Tablet
S111,C13,68,22,3401,48,Tablet
S112,C6,65,68,3554,31,Tablet
S113,C12,54,70,3161,22,Mobile
S114,C27,11,86,1201,13,Desktop
S115,C19,92,49,1178,46,Desktop
S116,C25,8,20,5827,56,Tablet
S117,C28,51,50,1909,5,Tablet
S118,C13,61,66,1144,38,Desktop
S119,C7,6,10,1330,38,Desktop
S120,C29,54,52,5749,32,Tablet
S121,C13,68,58,286,22,Tablet
S122,C18,52,88,5712,52,Tablet
S123,C13,13,86,3379,25,Tablet
S124,C16,26,54,2422,48,Mobile
S125,C8,26,76,3114,50,Mobile
S126,C17,95,11,3743,28,Mobile
S127,C24,89,48,4688,45,Mobile
S128,C8,28,89,2023,53,Desktop
S129,C7,12,16,5307,48,Tablet
S130,C25,14,72,4996,44,Tablet
S131,C1,33,46,1312,30,Tablet
S132,C19,6,82,3387,54,Mobile
S133,C20,50,60,5719,16,Mobile
S134,C25,94,59,1947,47,Desktop
S135,C24,15,38,3793,46,Mobile
S136,C24,99,64,1848,60,Desktop
S137,C24,65,24,2487,39,Desktop
S138,C12,63,14,1446,38,Mobile
S139,C16,64,78,2459,27,Mobile
S140,C10,11,20,996,3,Desktop
S141,C17,89,19,1688,46,Tablet
S142,C20,88,19,2107,46,Tablet
S143,C27,23,60,815,39,Mobile
S144,C27,10,30,4335,23,Mobile
S145,C19,13,59,1767,54,Tablet
S146,C4,30,81,225,16,Desktop
S147,C6,86,30,4985,11,Tablet
S148,C8,41,80,2580,1,Tablet
S149,C21,40,76,2669,35,Tablet
S150,C5,9,41,2035,44,Tablet
S151,C14,51,41,2162,11,Desktop
S152,C5,93,56,5386,57,Mobile
S153,C12,75,64,4552,39,Desktop
S154,C5,99,67,757,60,Tablet
S155,C1,10,13,2988,9,Mobile
S156,C21,46,29,3587,52,Mobile
S157,C30,18,51,1205,59,Tablet
S158,C19,33,87,1855,31,Tablet
S159,C21,43,50,3577,53,Mobile
S160,C10,53,52,5024,55,Tablet
S161,C19,2,60,2753,30,Desktop
S162,C11,4,46,604,42,Tablet
S163,C9,67,55,1428,30,Mobile
S164,C26,15,11,3761,30,Desktop
S165,C8,91,42,2860,20,Desktop
S166,C23,44,21,1611,2,Mobile
S167,C18,99,88,2838,51,Tablet
S168,C30,75,54,1064,26,Tablet
S169,C5,19,90,5787,4,Tablet
S170,C11,45,41,1877,8,Mobile
S171,C1,5,80,5336,42,Tablet
S172,C15,57,83,2174,15,Tablet
S173,C12,63,82,5662,21,Mobile
S174,C5,31,76,1792,10,Tablet
S175,C21,23,80,4845,53,Tablet
S176,C24,80,31,1515,45,Desktop
S177,C10,95,27,1419,26,Tablet
S178,C7,76,56,5932,27,Desktop
S179,C6,30,48,832,5,Desktop
S180,C25,4,53,1656,38,Tablet
S181,C15,30,83,1454,7,Desktop
S182,C22,60,44,698,2,Desktop
S183,C13,78,36,5203,51,Mobile
S184,C21,57,64,2947,17,Tablet
S185,C14,55,13,1271,33,Tablet
S186,C24,8,87,528,38,Desktop
S187,C16,53,64,1659,23,Mobile
S188,C15,50,14,3084,33,Desktop
S189,C27,67,20,5871,22,Desktop
S190,C23,69,66,790,59,Tablet
S191,C25,34,80,5035,28,Tablet
S192,C15,8,70,4424,43,Mobile
S193,C2,95,56,1148,36,Mobile
S194,C9,61,73,1450,46,Desktop
S195,C29,62,17,3622,26,Desktop
S196,C24,9,76,3060,38,Tablet
S197,C7,45,19,489,10,Desktop
S198,C18,68,81,2015,47,Mobile
S199,C19,51,87,4024,35,Mobile
S200,C10,13,77,2612,23,Desktop
S201,C21,53,50,2164,45,Mobile
S202,C28,88,88,3882,24,Tablet
S203,C4,4,74,381,15,Desktop
S204,C18,51,67,4063,27,Desktop
S205,C19,12,67,678,3,Tablet
S206,C17,47,44,2186,54,Desktop
S207,C21,9,37,4167,57,Desktop
S208,C16,17,66,4417,0,Desktop
S209,C15,43,38,5200,55,Tablet
S210,C19,39,29,3132,1,Mobile
S211,C28,82,12,3528,51,Tablet
S212,C2,75,74,5960,1,Desktop
S213,C22,10,10,3556,7,Tablet
S214,C16,21,14,5823,42,Desktop
S215,C30,36,20,3370,46,Desktop
S216,C14,74,33,679,41,Mobile
S217,C21,38,90,4145,39,Tablet
S218,C3,56,71,5625,25,Desktop
S219,C18,18,41,3067,33,Mobile
S220,C10,61,35,4083,37,Desktop
S221,C24,21,42,4082,4,Tablet
S222,C15,33,72,4945,60,Desktop
S223,C11,80,22,613,25,Tablet
S224,C16,91,90,5264,24,Desktop
S225,C29,47,55,1334,31,Mobile
S226,C10,25,59,5051,20,Tablet
S227,C25,54,39,2714,42,Mobile
S228,C8,2,70,5005,44,Mobile
S229,C24,5,72,3467,24,Desktop
S230,C2,73,89,888,47,Mobile
S231,C12,26,60,5441,12,Desktop
S232,C23,44,18,4917,17,Mobile
S233,C28,17,87,2936,19,Desktop
S234,C12,3,85,1340,38,Tablet
S235,C6,58,20,1462,20,Desktop
S236,C8,50,85,1979,43,Mobile
S237,C26,42,61,2410,20,Mobile
S238,C10,56,89,5072,23,Desktop
S239,C2,2,85,1224,16,Mobile
S240,C20,99,32,3400,35,Tablet
S241,C5,36,48,4472,41,Tablet
S242,C18,37,17,1129,21,Tablet
S243,C10,47,11,5278,11,Desktop
S244,C19,34,23,3133,51,Desktop
S245,C4,24,46,2735,35,Desktop
S246,C26,95,82,604,13,Mobile
S247,C13,42,27,4238,54,Tablet
S248,C30,39,24,405,11,Desktop
S249,C11,79,62,5722,15,Tablet
S250,C22,57,72,1303,24,Mobile
S251,C6,98,42,5108,53,Tablet
S252,C21,87,12,2955,47,Mobile
S253,C28,77,82,1149,25,Desktop
S254,C22,84,26,5383,0,Mobile
S255,C16,57,63,4678,9,Desktop
S256,C3,72,54,4725,58,Tablet
S257,C1,75,66,2155,44,Tablet
S258,C15,32,71,271,44,Mobile
S259,C28,56,68,2392,9,Mobile
S260,C8,14,83,5510,12,Desktop
S261,C25,86,47,4225,52,Tablet
S262,C10,64,62,5272,33,Desktop
S263,C17,72,81,5282,47,Desktop
S264,C17,78,40,2596,49,Mobile
S265,C4,82,62,1347,35,Desktop
S266,C30,65,76,1414,60,Tablet
S267,C5,20,65,3706,37,Mobile
S268,C28,17,18,5351,50,Tablet
S269,C18,80,86,425,47,Desktop
S270,C27,39,54,5889,32,Tablet
S271,C7,28,52,3371,27,Desktop
S272,C19,98,10,2970,56,Desktop
S273,C12,45,23,5424,38,Tablet
S274,C24,21,10,3378,29,Mobile
S275,C20,47,45,1565,46,Mobile
S276,C25,1,48,2417,57,Desktop
S277,C18,68,68,2969,16,Mobile
S278,C19,96,66,607,1,Mobile
S279,C1,82,27,3785,57,Mobile
S280,C3,62,62,688,59,Desktop
S281,C16,57,75,4097,32,Desktop
S282,C18,5,75,945,58,Desktop
S283,C13,47,23,2717,34,Tablet
S284,C10,8,47,2662,37,Desktop
S285,C7,62,30,4985,1,Desktop
S286,C12,19,26,241,29,Mobile
S287,C6,28,35,3395,47,Tablet
S288,C8,56,87,2890,4,Tablet
S289,C8,99,89,2132,53,Desktop
S290,C28,8,14,5592,25,Desktop
S291,C12,74,52,5017,48,Desktop
S292,C5,100,48,5709,19,Mobile
S293,C25,69,64,4354,17,Tablet
S294,C5,1,31,701,57,Tablet
S295,C1,13,72,1616,13,Desktop
S296,C16,44,49,4783,40,Desktop
S297,C18,36,24,2217,54,Desktop
S298,C2,32,80,5429,58,Mobile
S299,C16,21,84,4508,28,Desktop
S300,C22,65,79,4665,49,Desktop
S301,C23,53,59,3748,31,Mobile
S302,C13,68,83,3171,2,Mobile
S303,C26,8,10,817,59,Tablet
S304,C19,27,88,2345,54,Desktop
S305,C23,84,21,1293,51,Desktop
S306,C23,58,82,3260,53,Mobile
S307,C27,4,50,708,41,Tablet
S308,C14,78,60,222,26,Tablet
S309,C17,34,81,1981,27,Tablet
S310,C27,76,38,2078,4,Desktop
S311,C3,49,43,5124,43,Desktop
S312,C24,10,56,4325,36,Mobile
S313,C19,13,72,3819,19,Mobile
S314,C11,34,51,4372,22,Mobile
S315,C10,53,89,4153,54,Mobile
S316,C9,21,54,4607,16,Desktop
S317,C1,10,69,1982,30,Tablet
S318,C15,88,43,1704,34,Mobile
S319,C26,65,55,2999,9,Tablet
S320,C12,56,72,3531,52,Tablet
S321,C21,100,17,2255,33,Tablet
S322,C30,34,15,3839,23,Tablet
S323,C29,34,67,896,15,Tablet
S324,C27,23,16,5817,38,Tablet
S325,C18,13,69,3132,8,Desktop
S326,C14,20,69,3157,29,Tablet
S327,C20,18,57,4198,60,Tablet
S328,C10,27,19,2596,46,Desktop
S329,C5,22,39,4084,39,Tablet
S330,C22,31,70,1888,1,Desktop
S331,C4,87,41,1054,1,Mobile
S332,C16,35,48,4433,46,Tablet
S333,C10,67,50,5878,40,Mobile
S334,C24,60,74,1343,45,Desktop
S335,C1,57,62,2614,27,Mobile
S336,C2,33,68,3437,41,Tablet
S337,C27,3,35,724,11,Mobile
S338,C27,97,50,936,19,Desktop
S339,C21,10,39,4515,18,Mobile
S340,C25,24,26,615,39,Tablet
S341,C16,100,21,3565,15,Tablet
S342,C5,43,75,3767,46,Mobile
S343,C9,65,48,5776,43,Desktop
S344,C6,12,25,2745,43,Tablet
S345,C8,21,83,373,60,Desktop
S346,C8,80,23,4032,60,Mobile
S347,C14,52,18,3598,16,Tablet
S348,C3,8,60,2201,27,Mobile
S349,C15,20,82,5359,26,Desktop
S350,C28,10,78,5416,2,Tablet
S351,C12,10,18,5427,43,Desktop
S352,C5,55,76,3313,48,Tablet
S353,C11,42,51,4753,33,Tablet
S354,C14,68,56,4369,5,Tablet
S355,C13,60,52,1623,17,Desktop
S356,C19,16,88,4688,18,Mobile
S357,C23,57,53,3314,43,Desktop
S358,C17,65,73,5724,50,Desktop
S359,C29,73,63,1388,38,Tablet
S360,C6,68,33,543,50,Mobile
S361,C18,42,15,487,58,Mobile
S362,C14,37,16,4974,32,Mobile
S363,C26,19,78,4624,12,Mobile
S364,C18,19,60,1396,56,Desktop
S365,C7,53,43,2246,20,Mobile
S366,C12,9,66,3519,20,Desktop
S367,C21,93,68,705,51,Desktop
S368,C3,71,10,4850,34,Desktop
S369,C7,41,65,1420,8,Tablet
S370,C24,53,13,1159,17,Mobile
S371,C14,22,68,4176,15,Mobile
S372,C15,12,25,4489,11,Mobile
S373,C15,16,87,5965,6,Mobile
S374,C3,71,52,1634,7,Mobile
S375,C13,73,29,3203,11,Tablet
S376,C8,77,26,3509,54,Desktop
S377,C15,82,32,5359,17,Tablet
S378,C4,56,79,4993,54,Desktop
S379,C8,66,45,4008,51,Tablet
S380,C30,98,49,291,8,Tablet
S381,C17,11,25,3311,34,Desktop
S382,C27,35,49,5760,38,Tablet
S383,C24,47,39,2686,36,Desktop
S384,C11,7,59,1731,44,Desktop
S385,C15,64,14,5096,6,Mobile
S386,C15,67,56,3280,50,Tablet
S387,C27,50,84,5039,28,Mobile
S388,C15,80,36,2112,40,Desktop
S389,C29,35,24,969,47,Mobile
S390,C14,92,68,826,8,Tablet
S391,C29,89,22,752,19,Desktop
S392,C13,10,36,802,45,Desktop
S393,C9,35,65,1898,52,Mobile
S394,C11,7,28,1742,58,Tablet
S395,C3,78,73,5178,49,Desktop
S396,C13,88,25,4022,51,Mobile
S397,C23,89,21,4506,10,Tablet
S398,C23,4,78,2605,2,Mobile
S399,C24,81,83,5737,42,Desktop
S400,C28,86,68,2895,14,Desktop
S401,C10,84,81,5822,12,Desktop
S402,C9,62,50,3989,15,Mobile
S403,C26,88,85,5276,12,Tablet
S404,C25,49,23,4127,24,Desktop
S405,C3,53,47,3988,6,Mobile
S406,C13,93,75,4243,46,Mobile
S407,C20,96,70,2611,57,Mobile
S408,C5,35,58,1446,49,Tablet
S409,C17,47,34,2582,55,Desktop
S410,C13,81,13,1748,53,Desktop
S411,C24,93,64,2764,10,Desktop
S412,C21,34,87,836,22,Tablet
S413,C12,9,34,2962,52,Tablet
S414,C8,39,63,5425,22,Tablet
S415,C22,91,63,1724,13,Tablet
S416,C15,54,19,5273,53,Desktop
S417,C20,78,17,1491,51,Desktop
S418,C8,46,10,3559,18,Tablet
S419,C4,37,33,5713,12,Tablet
S420,C5,33,82,5561,37,Mobile
S421,C10,14,12,3149,35,Tablet
S422,C21,34,16,2513,53,Tablet
S423,C30,92,30,2698,11,Mobile
S424,C26,99,33,3756,16,Desktop
S425,C14,89,42,1551,51,Desktop
S426,C21,6,78,1822,58,Desktop
S427,C20,56,20,2269,53,Tablet
S428,C16,42,24,1898,5,Tablet
S429,C25,70,28,2673,4,Tablet
S430,C14,9,45,4012,8,Tablet
S431,C18,11,62,4670,21,Tablet
S432,C3,76,35,4917,16,Tablet
S433,C2,93,69,5548,53,Tablet
S434,C3,10,24,3759,52,Desktop
S435,C15,73,73,352,21,Desktop
S436,C24,95,62,4417,9,Mobile
S437,C27,46,28,1758,2,Tablet
S438,C11,65,23,865,57,Mobile
S439,C6,17,65,3493,35,Tablet
S440,C19,86,51,5966,11,Desktop
S441,C27,90,33,2742,39,Mobile
S442,C24,50,65,2672,31,Desktop
S443,C2,61,75,5747,13,Tablet
S444,C26,19,67,5843,47,Mobile
S445,C7,69,26,3949,38,Mobile
S446,C19,93,29,4170,25,Desktop
S447,C30,16,12,3523,29,Tablet
S448,C24,14,45,791,15,Tablet
S449,C10,22,57,4786,25,Mobile
S450,C2,45,52,3340,49,Desktop
S451,C23,34,21,4213,47,Tablet
S452,C3,69,53,3478,37,Desktop
S453,C1,9,18,5592,35,Tablet
S454,C19,24,77,367,51,Mobile
S455,C17,80,42,2577,22,Tablet
S456,C21,31,26,1053,2,Tablet
S457,C14,4,45,5898,46,Tablet
S458,C18,65,89,4018,5,Mobile
S459,C4,56,80,3231,41,Mobile
S460,C14,41,48,2549,5,Mobile
S461,C29,4,29,2394,7,Desktop
S462,C17,76,42,5611,55,Tablet
S463,C20,95,35,5717,21,Tablet
S464,C12,57,68,4345,18,Mobile
S465,C15,2,74,223,49,Desktop
S466,C1,91,16,5551,41,Tablet
S467,C7,28,43,1844,1,Tablet
S468,C23,83,63,316,12,Mobile
S469,C29,56,80,2763,4,Mobile
S470,C15,69,19,3270,37,Desktop
S471,C7,67,16,861,39,Desktop
S472,C13,44,76,4843,8,Desktop
S473,C17,63,84,2306,43,Desktop
S474,C7,3,88,3277,4,Tablet
S475,C4,43,37,1459,53,Mobile
S476,C4,60,79,1016,50,Desktop
S477,C18,90,73,2406,46,Desktop
S478,C27,74,14,1724,48,Mobile
S479,C21,86,33,966,34,Tablet
S480,C19,11,28,4657,49,Tablet
S481,C26,84,12,4024,10,Tablet
S482,C8,21,88,5320,31,Mobile
S483,C23,15,78,479,8,Desktop
S484,C17,43,23,1814,59,Mobile
S485,C11,86,37,1797,24,Tablet
S486,C5,59,63,5150,46,Tablet
S487,C24,64,25,3733,40,Desktop
S488,C19,88,60,5065,40,Mobile
S489,C10,32,26,4563,13,Desktop
S490,C21,21,10,3306,35,Mobile
S491,C1,44,22,5261,25,Desktop
S492,C29,24,86,5515,18,Mobile
S493,C2,40,63,901,6,Mobile
S494,C17,16,27,980,11,Tablet
S495,C10,32,69,4854,59,Tablet
S496,C8,60,23,1714,22,Mobile
S497,C20,53,48,4779,8,Desktop
S498,C12,73,80,2791,57,Tablet
S499,C2,26,66,523,45,Desktop
S500,C13,99,29,4555,47,Mobile
S501,C4,63,69,4942,23,Tablet
S502,C24,73,10,2564,22,Mobile
S503,C22,9,12,1734,19,Desktop
S504,C28,80,21,1609,37,Mobile
S505,C11,58,23,332,41,Tablet
S506,C24,96,82,2956,27,Desktop
S507,C28,28,51,3962,17,Mobile
S508,C12,86,28,663,40,Mobile
S509,C4,42,53,1335,43,Mobile
S510,C9,56,75,4195,36,Mobile
S511,C17,13,33,3332,4,Tablet
S512,C8,10,26,1032,33,Mobile
S513,C6,62,73,946,45,Mobile
S514,C18,17,69,2749,7,Mobile
S515,C27,20,48,1044,8,Mobile
S516,C4,1,55,3033,3,Mobile
S517,C3,83,21,5571,49,Mobile
S518,C1,15,34,1124,49,Mobile
S519,C14,28,70,2462,48,Mobile
S520,C21,63,68,2159,44,Tablet
S521,C23,29,75,969,51,Tablet
S522,C15,24,72,5327,1,Tablet
S523,C16,100,42,1143,35,Tablet
S524,C19,2,39,4951,13,Tablet
S525,C30,81,23,4595,18,Mobile
S526,C2,28,63,557,56,Desktop
S527,C14,95,89,3019,0,Desktop
S528,C27,51,22,4482,10,Desktop
S529,C18,74,68,3225,48,Mobile
S530,C22,63,64,810,58,Mobile
S531,C4,71,40,1128,40,Tablet
S532,C30,49,30,5274,40,Tablet
S533,C30,16,83,1307,12,Tablet
S534,C23,39,88,1184,36,Mobile
S535,C16,33,32,4516,29,Desktop
S536,C6,38,81,4948,5,Mobile
S537,C4,78,83,3808,35,Desktop
S538,C11,62,22,5520,11,Desktop
S539,C24,34,73,5104,15,Mobile
S540,C14,15,20,4845,48,Mobile
S541,C15,39,19,416,2,Tablet
S542,C28,88,31,250,29,Tablet
S543,C12,30,84,3395,28,Mobile
S544,C12,94,30,882,49,Desktop
S545,C7,33,33,3960,43,Tablet
S546,C23,38,87,1628,32,Desktop
S547,C8,27,75,4591,12,Tablet
S548,C7,21,39,3186,24,Desktop
S549,C15,69,62,2028,1,Tablet
S550,C21,31,35,4034,59,Tablet
S551,C12,49,44,3134,44,Mobile
S552,C6,58,25,4563,45,Tablet
S553,C26,64,21,2193,38,Mobile
S554,C21,63,44,4971,45,Mobile
S555,C2,31,14,5253,51,Mobile
S556,C20,87,40,2487,5,Desktop
S557,C19,45,22,3946,57,Mobile
S558,C18,34,77,4643,42,Tablet
S559,C30,47,19,1055,40,Desktop
S560,C13,1,48,1579,3,Tablet
S561,C22,97,61,4711,7,Desktop
S562,C13,11,86,520,37,Tablet
S563,C23,24,15,1991,56,Tablet
S564,C5,84,16,2794,35,Tablet
S565,C15,54,38,3503,15,Mobile
S566,C23,11,16,2467,18,Tablet
S567,C3,100,81,3798,32,Mobile
S568,C5,44,18,1888,22,Desktop
S569,C28,66,60,1749,44,Tablet
S570,C16,45,83,5318,14,Desktop
S571,C7,57,26,4662,8,Tablet
S572,C12,99,68,5446,11,Desktop
S573,C5,75,80,1556,19,Tablet
S574,C22,62,38,2389,13,Mobile
S575,C21,85,82,350,49,Desktop
S576,C3,83,87,2382,6,Desktop
S577,C7,45,11,1083,51,Desktop
S578,C16,28,47,4439,49,Tablet
S579,C16,30,53,4233,6,Mobile
S580,C10,53,37,455,40,Mobile
S581,C29,57,19,1796,59,Desktop
S582,C13,71,19,1896,42,Desktop
S583,C30,25,29,753,16,Mobile
S584,C26,42,69,2925,46,Mobile
S585,C3,38,87,1934,26,Desktop
S586,C14,74,57,421,3,Desktop
S587,C25,96,66,4576,36,Desktop
S588,C22,88,70,5703,3,Mobile
S589,C2,52,63,1805,30,Mobile
S590,C12,76,32,1821,28,Desktop
S591,C22,82,15,2737,48,Tablet
S592,C22,82,48,2114,32,Tablet
S593,C24,4,40,5090,30,Desktop
S594,C14,36,60,2916,7,Mobile
S595,C2,30,77,3140,46,Mobile
S596,C9,68,21,4184,19,Desktop
S597,C5,10,79,3028,1,Desktop
S598,C19,86,57,2323,59,Desktop
S599,C17,2,54,2549,56,Mobile
S600,C1,51,33,5747,28,Mobile
S601,C22,97,59,1883,30,Desktop
S602,C20,83,63,5031,32,Desktop
S603,C5,14,50,5222,43,Desktop
S604,C9,21,34,3197,30,Desktop
S605,C23,87,59,321,2,Tablet
S606,C12,38,45,3361,11,Mobile
S607,C16,43,11,3024,29,Tablet
S608,C13,61,17,767,20,Tablet
S609,C11,48,71,3200,23,Desktop
S610,C15,53,79,4504,37,Mobile
S611,C4,2,23,4050,9,Desktop
S612,C5,63,23,2950,4,Desktop
S613,C29,83,56,2553,30,Tablet
S614,C8,86,14,380,45,Desktop
S615,C9,57,55,4255,36,Desktop
S616,C16,11,21,4119,13,Tablet
S617,C27,92,46,4271,23,Tablet
S618,C2,34,50,1461,29,Mobile
S619,C4,33,62,3366,34,Mobile
S620,C16,79,58,2131,36,Mobile
S621,C1,89,32,5315,38,Mobile
S622,C6,59,25,3246,28,Tablet
S623,C26,36,76,2038,48,Mobile
S624,C11,21,52,1638,32,Desktop
S625,C29,70,75,4721,42,Desktop
S626,C15,75,50,2784,58,Desktop
S627,C4,56,18,2857,31,Mobile
S628,C17,30,29,5377,56,Mobile
S629,C1,5,10,3480,5,Mobile
S630,C9,41,87,4752,42,Tablet
S631,C2,95,72,1637,22,Tablet
S632,C11,92,10,4068,53,Tablet
S633,C5,57,73,322,19,Desktop
S634,C11,27,17,3172,45,Mobile
S635,C26,23,64,5011,43,Desktop
S636,C3,41,47,5278,14,Tablet
S637,C28,18,67,5323,10,Desktop
S638,C10,29,67,4322,22,Mobile
S639,C14,40,66,4783,15,Tablet
S640,C12,37,84,1138,42,Tablet
S641,C30,53,86,1638,36,Desktop
S642,C23,53,41,1224,36,Desktop
S643,C24,88,26,4417,43,Mobile
S644,C1,87,16,431,21,Desktop
S645,C20,71,31,5259,40,Desktop
S646,C21,96,45,3294,37,Desktop
S647,C7,96,27,2012,6,Desktop
S648,C9,61,82,542,3,Mobile
S649,C12,98,65,730,53,Mobile
S650,C18,13,43,2577,56,Desktop
S651,C11,89,67,3871,20,Desktop
S652,C15,5,34,4444,22,Desktop
S653,C14,71,79,5832,60,Tablet
S654,C17,97,57,3641,41,Tablet
S655,C26,3,86,3554,3,Mobile
S656,C9,17,83,1637,46,Tablet
S657,C30,61,80,2568,22,Tablet
S658,C5,60,83,1705,16,Tablet
S659,C18,3,26,3380,7,Mobile
S660,C18,88,38,3144,18,Tablet
S661,C18,80,73,2123,2,Mobile
S662,C27,82,88,3527,22,Desktop
S663,C28,17,63,1087,21,Desktop
S664,C14,17,62,4469,12,Tablet
S665,C29,18,69,2058,6,Mobile
S666,C2,1,33,2352,46,Tablet
S667,C22,74,29,3615,25,Tablet
S668,C22,3,28,4605,21,Desktop
S669,C7,84,79,1002,23,Desktop
S670,C29,80,53,3636,52,Desktop
S671,C2,75,83,2822,5,Desktop
S672,C20,87,78,1285,45,Tablet
S673,C25,44,22,4110,10,Desktop
S674,C3,72,31,1863,8,Desktop
S675,C5,42,12,2137,10,Desktop
S676,C26,42,73,2307,38,Tablet
S677,C24,57,19,2521,24,Desktop
S678,C15,82,16,2973,13,Tablet
S679,C27,63,72,222,37,Desktop
S680,C25,44,76,4149,4,Mobile
S681,C27,31,32,2648,12,Mobile
S682,C5,84,74,4969,60,Desktop
S683,C8,99,85,4035,12,Tablet
S684,C10,56,48,1382,6,Desktop
S685,C4,62,46,3736,42,Mobile
S686,C1,21,45,4064,19,Mobile
S687,C4,18,15,956,3,Tablet
S688,C7,50,81,1400,4,Tablet
S689,C6,49,46,2433,42,Mobile
S690,C27,30,52,2609,23,Desktop
S691,C29,17,48,2588,21,Desktop
S692,C22,51,71,655,32,Desktop
S693,C26,37,70,2217,1,Desktop
S694,C8,3,77,2497,35,Mobile
S695,C22,18,65,3939,7,Mobile
S696,C22,8,85,5168,1,Mobile
S697,C22,84,57,2942,59,Tablet
S698,C30,93,67,5760,35,Mobile
S699,C1,27,31,5257,0,Desktop
S700,C24,91,23,1789,43,Tablet
