student_id,videos_watched,quizzes_attempted,assignments_submitted,forum_posts,progress_percent,notes_downloaded
S76,104,21,8,1,35,19
S77,79,12,0,0,15,3
S78,92,15,10,23,1,0
S79,74,9,11,24,87,15
S80,15,14,13,7,43,5
S81,100,35,15,23,37,17
S82,19,27,9,12,39,15
S83,58,3,11,9,20,7
S84,88,23,10,2,63,10
S85,29,19,3,7,13,13
S86,2,13,14,7,36,4
S87,141,9,7,3,11,6
S88,89,14,1,21,77,3
S89,90,22,5,12,79,19
S90,100,19,15,20,3,5
S91,81,1,14,15,67,3
S92,127,17,15,11,52,6
S93,62,26,9,14,25,0
S94,146,24,10,6,69,11
S95,39,1,0,21,45,2
S96,97,39,15,11,5,17
S97,41,30,0,12,67,20
S98,143,0,2,19,64,3
S99,26,29,3,24,83,12
S100,128,18,15,16,19,20
S101,30,23,4,15,93,15
S102,141,25,4,22,79,5
S103,106,32,14,4,8,4
S104,90,24,1,0,16,9
S105,106,18,2,19,41,17
S106,118,39,9,0,57,2
S107,74,29,7,22,43,17
S108,0,33,3,11,1,11
S109,58,15,3,19,98,7
S110,80,26,12,14,12,19
S111,25,18,2,14,69,15
S112,10,32,2,5,16,1
S113,96,30,14,16,35,13
S114,7,6,12,1,20,17
S115,106,32,9,22,62,15
S116,41,13,14,18,94,19
S117,98,24,15,4,72,14
S118,36,35,6,5,42,18
S119,130,38,8,6,89,8
S120,97,30,4,3,53,7
S121,75,37,12,23,58,18
S122,43,21,5,7,7,3
S123,150,37,1,2,17,15
S124,81,12,15,5,27,1
S125,31,36,13,24,79,20
S126,150,18,4,22,71,11
S127,18,25,8,24,33,2
S128,35,8,14,17,20,5
S129,135,14,10,0,8,1
S130,131,12,4,16,13,5
S131,16,1,8,11,68,1
S132,95,2,7,22,25,19
S133,95,13,15,17,50,4
S134,6,15,9,16,19,17
S135,36,25,11,23,32,15
S136,143,10,12,1,8,11
S137,92,30,15,22,57,1
S138,93,29,9,0,2,11
S139,75,5,7,3,64,4
S140,65,21,1,15,24,11
S141,3,7,13,16,70,15
S142,99,16,8,11,75,20
S143,47,6,15,13,7,10
S144,3,5,8,14,39,0
S145,140,19,11,10,34,2
S146,3,0,3,21,27,5
S147,10,3,3,13,1,2
S148,127,34,12,19,78,20
S149,97,15,13,4,97,14
S150,145,10,11,20,91,16
S151,50,39,8,20,44,18
S152,66,25,0,5,75,3
S153,122,4,9,9,9,7
S154,7,13,6,3,51,12
S155,136,25,6,22,75,10
S156,73,12,2,9,86,15
S157,45,13,0,0,74,17
S158,138,40,8,6,48,15
S159,27,10,8,14,85,3
S160,84,18,0,15,1,16
S161,23,31,7,14,46,20
S162,44,15,15,16,97,13
S163,104,21,11,8,27,4
S164,93,11,6,1,74,9
S165,37,24,3,1,45,13
S166,47,32,2,13,12,11
S167,139,24,12,4,10,2
S168,71,5,10,22,96,17
S169,97,15,0,7,66,17
S170,54,38,10,9,24,14
S171,86,37,5,12,30,4
S172,14,31,6,21,36,17
S173,110,23,7,20,70,18
S174,34,14,5,21,29,15
S175,52,19,14,15,82,2
S176,20,22,13,5,40,14
S177,116,3,9,3,23,20
S178,102,31,6,22,65,3
S179,84,34,8,11,22,20
S180,103,6,11,21,65,1
S181,23,40,14,22,61,19
S182,5,19,1,17,82,7
S183,78,15,14,1,16,0
S184,149,28,15,11,40,20
S185,102,19,12,0,89,1
S186,119,12,9,11,58,19
S187,140,37,0,25,15,2
S188,108,6,11,7,5,6
S189,106,34,10,5,61,8
S190,74,27,13,8,72,10
S191,27,31,6,0,11,13
S192,18,38,12,10,34,2
S193,108,30,6,22,47,10
S194,131,38,13,7,62,19
S195,122,38,1,2,85,18
S196,59,26,5,16,81,1
S197,124,35,2,25,97,16
S198,147,26,7,17,28,16
S199,20,25,4,7,47,20
S200,99,30,12,15,69,4
S201,37,38,9,24,14,20
S202,20,32,15,5,55,10
S203,24,36,2,8,26,14
S204,22,3,2,11,28,18
S205,24,22,12,16,45,6
S206,79,13,3,1,3,6
S207,59,20,14,18,85,7
S208,41,37,8,15,52,14
S209,4,14,11,9,91,8
S210,30,18,14,2,43,1
S211,12,32,3,3,83,14
S212,78,18,8,8,54,18
S213,10,1,8,6,6,14
S214,38,22,10,23,33,17
S215,146,18,13,10,2,10
S216,75,31,1,4,74,18
S217,88,5,2,19,27,19
S218,17,40,14,0,36,17
S219,10,14,0,21,64,14
S220,57,39,14,7,57,8
S221,127,19,4,21,78,20
S222,96,16,7,16,34,16
S223,102,1,2,0,0,18
S224,28,17,7,21,33,3
S225,60,35,13,6,19,11
S226,105,14,14,16,67,17
S227,80,38,12,21,33,13
S228,111,16,10,21,99,4
S229,96,37,4,17,60,6
S230,76,15,3,15,14,19
S231,37,35,3,12,44,6
S232,65,6,8,22,62,1
S233,99,7,9,22,84,10
S234,11,37,15,19,54,3
S235,96,21,4,23,33,20
S236,49,18,14,6,43,18
S237,122,23,1,15,8,13
S238,87,36,3,14,50,5
S239,53,35,2,18,75,14
S240,16,1,8,17,0,10
S241,108,24,6,18,34,11
S242,91,36,14,19,67,11
S243,7,25,9,16,41,18
S244,32,5,2,17,91,16
S245,55,12,9,1,21,6
S246,2,23,2,7,51,15
S247,43,5,6,18,42,3
S248,15,15,5,4,37,17
S249,64,24,3,18,30,6
S250,142,19,10,15,29,18
S251,118,16,10,7,39,3
S252,73,4,8,3,37,15
S253,14,17,7,7,67,7
S254,106,32,0,8,71,1
S255,11,33,8,5,80,18
S256,46,17,2,0,71,12
S257,45,16,6,9,33,12
S258,36,3,8,23,16,14
S259,93,24,14,23,50,7
S260,29,17,9,12,35,20
S261,39,15,6,7,88,20
S262,52,6,9,13,31,14
S263,148,35,13,17,97,12
S264,100,1,9,10,49,14
S265,48,16,12,6,9,0
S266,138,9,7,19,43,8
S267,136,5,5,24,76,16
S268,147,21,9,8,56,6
S269,113,1,14,13,91,12
S270,25,22,15,7,56,17
S271,130,40,0,11,89,18
S272,117,7,11,15,39,5
S273,24,32,9,8,91,9
S274,51,18,9,10,84,20
S275,123,5,10,2,66,11
S276,89,12,3,14,48,13
S277,11,15,11,4,59,13
S278,69,20,5,15,8,11
S279,72,3,2,0,34,4
S280,38,38,6,11,13,2
S281,123,27,2,8,91,15
S282,70,34,3,10,6,7
S283,128,8,7,9,54,4
S284,133,40,4,20,42,9
S285,11,12,14,14,0,8
S286,105,37,1,3,17,13
S287,30,11,4,25,72,13
S288,69,24,14,3,17,18
S289,8,31,11,25,55,15
S290,61,34,5,10,56,1
S291,42,12,12,10,59,12
S292,147,17,14,5,10,12
S293,141,5,8,0,60,11
S294,132,16,10,4,81,0
S295,4,24,12,7,66,10
S296,77,18,11,19,72,1
S297,114,30,7,8,0,5
S298,45,28,14,23,51,4
S299,72,27,5,11,65,14
S300,121,23,5,20,5,1
S301,32,38,10,6,62,19
S302,53,19,9,13,52,9
S303,127,5,6,5,51,2
S304,135,7,2,13,43,6
S305,32,4,12,9,63,16
S306,45,7,7,0,2,14
S307,12,14,0,0,31,6
S308,59,15,13,22,66,18
S309,91,29,14,19,11,18
S310,33,5,10,15,88,6
S311,19,15,10,9,44,2
S312,77,0,2,3,36,5
S313,85,24,2,0,43,13
S314,49,34,1,7,23,13
S315,102,4,12,13,47,17
S316,114,8,10,17,0,7
S317,77,21,9,7,10,14
S318,93,29,5,3,41,15
S319,69,37,8,11,18,16
S320,78,38,1,10,49,14
S321,78,4,2,13,6,14
S322,118,31,15,23,43,8
S323,7,23,8,15,1,12
S324,30,27,2,0,46,11
S325,62,22,13,2,9,0
S326,86,34,2,10,1,4
S327,17,0,1,0,75,13
S328,74,34,12,3,64,8
S329,56,16,14,19,79,1
S330,116,40,3,1,75,3
S331,129,36,6,14,92,1
S332,73,11,1,20,40,4
S333,79,36,1,10,32,16
S334,44,10,8,14,46,15
S335,39,32,0,21,44,9
S336,99,5,5,7,77,4
S337,145,11,3,15,1,15
S338,37,5,8,13,56,13
S339,42,40,11,7,4,15
S340,116,14,13,17,69,15
S341,48,24,8,6,98,9
S342,102,24,13,12,76,19
S343,50,0,4,15,16,9
S344,0,31,3,12,79,9
S345,148,33,8,3,81,15
S346,16,8,0,21,90,18
S347,31,13,14,18,92,8
S348,58,2,6,17,20,8
S349,67,1,2,10,86,9
S350,74,39,8,19,2,15
S351,102,12,14,15,50,12
S352,11,35,12,9,5,12
S353,9,31,5,19,38,14
S354,2,0,7,1,58,8
S355,70,17,5,5,80,17
S356,58,37,13,8,49,11
S357,108,23,12,24,61,17
S358,94,23,12,13,65,1
S359,76,4,4,20,39,16
S360,130,31,2,12,24,12
S361,43,31,0,25,93,7
S362,3,23,13,1,36,14
S363,139,27,14,1,53,7
S364,67,11,7,25,82,3
S365,81,28,8,5,57,13
S366,107,37,0,18,51,16
S367,115,7,15,5,12,8
S368,60,22,10,22,53,6
S369,13,10,6,21,45,13
S370,41,22,2,12,90,18
S371,62,7,13,22,88,11
S372,73,26,3,23,15,8
S373,67,40,4,16,90,19
S374,59,0,8,15,94,0
S375,55,4,13,8,57,11
S376,140,20,11,16,34,8
S377,93,0,0,16,46,12
S378,120,33,10,20,65,17
S379,64,6,15,1,38,14
S380,100,18,14,24,38,7
S381,23,28,9,6,66,4
S382,67,22,14,20,34,4
S383,123,23,15,23,20,20
S384,126,36,13,17,91,20
S385,35,1,9,17,96,4
S386,77,13,2,8,9,0
S387,13,37,0,4,16,5
S388,22,32,2,13,94,16
S389,25,34,14,17,12,1
S390,54,33,1,11,31,0
S391,59,3,6,10,50,12
S392,107,20,9,0,65,1
S393,101,22,9,21,46,13
S394,69,40,2,18,61,12
S395,44,9,5,20,31,4
S396,149,27,1,20,27,15
S397,108,32,5,19,95,6
S398,142,19,0,9,45,20
S399,135,15,3,7,53,13
S400,60,14,11,13,47,11
S401,150,6,12,9,20,10
S402,101,28,2,6,75,8
S403,62,3,1,24,80,1
S404,146,39,15,18,85,19
S405,26,39,0,22,85,0
S406,81,39,6,4,3,19
S407,134,14,5,2,47,15
S408,111,33,7,5,29,5
S409,62,34,7,23,11,6
S410,47,23,4,23,25,20
S411,10,27,8,10,20,18
S412,70,32,12,1,82,18
S413,23,19,5,19,63,6
S414,39,8,9,25,97,5
S415,8,26,7,22,95,16
S416,115,33,13,18,72,17
S417,123,7,0,7,34,11
S418,12,22,0,21,59,20
S419,145,36,1,13,92,5
S420,70,19,3,17,26,20
S421,71,13,4,19,76,0
S422,0,9,13,23,19,17
S423,32,16,15,4,40,10
S424,53,12,3,18,51,12
S425,16,2,0,9,64,11
S426,47,2,10,12,37,5
S427,20,29,9,3,5,19
S428,40,10,4,11,71,9
S429,70,8,9,10,48,16
S430,129,33,6,10,4,17
S431,33,13,12,25,11,18
S432,32,4,9,23,81,7
S433,121,22,7,9,32,12
S434,22,27,2,15,47,2
S435,37,37,11,18,26,17
S436,121,31,15,3,23,4
S437,20,35,11,19,14,14
S438,139,36,10,2,93,11
S439,88,8,12,21,96,11
S440,5,36,2,16,24,3
S441,23,34,12,22,85,20
S442,148,34,5,20,91,5
S443,101,17,15,6,69,15
S444,53,40,0,18,72,7
S445,103,19,7,10,9,17
S446,28,37,13,22,2,9
S447,20,30,11,0,18,16
S448,106,26,1,4,41,18
S449,95,3,4,11,95,20
S450,24,29,1,12,38,18
S451,117,40,4,21,0,7
S452,73,2,10,0,11,5
S453,112,14,2,16,59,9
S454,33,7,9,2,85,0
S455,49,5,3,21,74,1
S456,106,33,4,12,32,12
S457,43,30,5,13,64,8
S458,111,13,14,23,54,15
S459,5,10,3,14,6,17
S460,112,25,3,18,15,17
S461,10,24,1,6,3,18
S462,6,18,0,2,71,9
S463,145,6,10,5,28,11
S464,36,30,1,22,25,17
S465,84,5,13,20,16,8
S466,49,8,15,20,95,10
S467,14,8,2,14,1,19
S468,11,37,1,20,34,12
S469,25,21,10,3,94,8
S470,119,9,14,25,66,11
S471,1,12,9,19,63,2
S472,39,17,7,16,54,14
S473,119,11,10,19,55,17
S474,33,22,6,21,21,8
S475,115,10,10,3,77,13
S476,121,17,7,3,70,1
S477,21,36,6,15,95,14
S478,73,5,15,23,73,8
S479,36,20,13,22,25,20
S480,110,4,0,7,51,14
S481,61,34,7,24,63,1
S482,25,38,6,22,18,0
S483,69,26,4,0,79,15
S484,51,21,14,18,74,4
S485,28,39,12,5,82,8
S486,6,27,3,14,90,16
S487,85,27,1,24,18,12
S488,53,18,3,0,25,5
S489,100,13,7,8,79,15
S490,56,3,7,2,44,15
S491,29,26,10,8,65,6
S492,87,22,11,22,86,4
S493,66,22,1,22,35,14
S494,23,1,0,2,54,19
S495,91,17,8,4,88,1
S496,41,38,9,23,57,3
S497,32,10,13,11,71,16
S498,14,22,4,9,5,11
S499,57,15,4,18,35,9
S500,81,34,8,9,40,15
S501,35,3,4,19,69,5
S502,42,26,11,8,7,13
S503,49,4,14,17,10,12
S504,118,2,10,22,66,10
S505,6,25,14,23,86,3
S506,95,28,3,23,17,6
S507,71,17,5,10,13,18
S508,127,24,15,15,92,9
S509,66,27,5,9,59,1
S510,32,34,4,3,33,4
S511,109,5,2,22,44,14
S512,17,38,7,15,26,8
S513,21,26,12,10,9,17
S514,1,12,7,20,20,6
S515,29,12,11,4,27,7
S516,88,40,8,1,21,6
S517,33,4,13,0,88,20
S518,39,21,10,5,76,17
S519,56,31,8,23,69,10
S520,43,7,15,21,87,5
S521,83,18,4,22,3,8
S522,121,0,7,1,73,11
S523,114,29,7,24,46,15
S524,100,5,2,8,20,0
S525,150,13,11,11,28,9
S526,26,2,8,10,51,2
S527,22,34,3,9,26,14
S528,4,34,2,20,70,18
S529,124,29,14,16,99,6
S530,79,10,9,15,90,3
S531,47,18,10,14,90,16
S532,114,39,8,10,53,8
S533,91,9,6,7,63,16
S534,112,20,11,5,89,7
S535,121,19,14,13,65,11
S536,132,11,4,8,2,4
S537,85,8,15,11,5,9
S538,23,33,12,17,67,0
S539,0,23,12,21,53,2
S540,146,32,14,2,38,0
S541,82,32,10,12,54,14
S542,36,3,0,9,15,10
S543,120,5,10,23,80,9
S544,61,14,13,13,77,11
S545,6,16,3,22,7,1
S546,150,30,15,0,73,13
S547,68,38,0,13,20,5
S548,120,40,10,17,1,0
S549,34,1,4,18,75,4
S550,62,30,0,19,14,17
S551,85,39,8,1,51,1
S552,10,26,14,19,73,17
S553,76,0,1,23,50,11
S554,33,16,5,1,33,15
S555,57,2,7,2,62,16
S556,146,33,3,19,94,5
S557,77,26,8,9,11,11
S558,35,5,12,13,9,9
S559,64,34,9,0,12,2
S560,3,8,6,18,19,15
S561,48,22,9,24,14,1
S562,71,1,6,19,71,9
S563,148,6,11,16,76,12
S564,91,26,10,14,60,13
S565,142,32,1,7,73,0
S566,48,15,11,11,89,12
S567,74,32,2,3,90,11
S568,66,25,15,5,83,8
S569,41,25,15,20,11,14
S570,42,16,4,5,6,15
S571,86,17,14,23,52,18
S572,91,35,0,16,13,14
S573,45,17,14,25,80,7
S574,136,25,5,22,55,9
S575,40,6,14,15,94,17
S576,28,38,6,15,56,6
S577,147,40,4,11,62,3
S578,111,38,4,12,65,11
S579,90,6,14,24,45,4
S580,27,30,12,10,86,7
S581,118,33,4,19,72,12
S582,69,1,10,1,88,6
S583,103,12,5,6,51,15
S584,12,33,5,17,86,9
S585,71,25,6,7,41,13
S586,27,33,12,25,88,11
S587,29,22,10,8,80,16
S588,81,25,11,19,81,19
S589,135,34,12,10,2,14
S590,110,24,8,14,45,16
S591,48,1,14,20,98,10
S592,17,1,8,22,94,10
S593,119,10,12,22,90,18
S594,2,34,12,16,61,11
S595,13,17,6,2,24,1
S596,143,37,14,11,54,3
S597,105,1,13,13,63,9
S598,57,30,12,14,72,3
S599,70,1,6,15,56,14
S600,19,11,6,1,29,15
S601,27,38,15,6,52,10
S602,149,27,10,19,82,9
S603,139,0,1,8,66,18
S604,9,28,9,16,21,5
S605,137,23,2,18,40,10
S606,41,3,2,5,74,7
S607,33,9,0,25,72,7
S608,111,15,0,9,32,2
S609,55,5,6,3,14,8
S610,106,1,14,23,55,14
S611,12,5,13,19,54,3
S612,41,27,9,5,13,12
S613,7,4,12,8,15,8
S614,61,24,15,5,67,19
S615,10,25,8,6,84,9
S616,46,38,15,10,35,18
S617,84,14,1,11,95,0
S618,125,17,3,6,67,18
S619,78,3,5,17,96,5
S620,98,28,8,24,72,12
S621,23,31,3,9,17,12
S622,136,23,7,9,40,10
S623,12,20,15,21,23,4
S624,1,14,3,3,73,7
S625,105,29,4,18,76,20
S626,122,16,13,0,18,9
S627,34,32,1,7,75,19
S628,33,11,2,23,34,11
S629,142,11,8,23,10,1
S630,73,11,3,20,92,16
S631,101,17,2,16,54,19
S632,118,35,12,10,77,1
S633,74,0,6,6,52,11
S634,83,1,15,14,28,19
S635,144,8,7,6,26,19
S636,50,10,14,6,91,3
S637,44,31,3,21,36,1
S638,0,3,10,7,15,0
S639,64,5,13,15,32,13
S640,55,38,4,9,62,10
S641,79,26,8,4,6,10
S642,15,27,0,15,39,1
S643,31,4,13,24,75,8
S644,135,6,10,7,63,17
S645,1,4,10,15,27,20
S646,139,40,0,18,18,7
S647,44,17,6,22,5,1
S648,127,19,4,4,42,15
S649,102,4,5,10,28,14
S650,52,2,15,6,91,0
S651,30,32,5,1,28,7
S652,43,27,6,22,62,7
S653,146,31,15,21,21,0
S654,70,39,10,18,85,20
S655,74,30,8,15,25,11
S656,147,30,0,12,26,18
S657,74,40,9,23,30,15
S658,9,20,4,19,63,14
S659,68,2,9,1,44,8
S660,123,14,6,9,52,5
S661,34,11,3,9,45,1
S662,40,17,12,21,59,6
S663,62,18,6,24,5,1
S664,98,32,2,17,49,5
S665,31,14,3,11,58,4
S666,69,5,8,3,73,12
S667,3,4,12,23,45,17
S668,14,31,6,13,45,20
S669,103,32,4,12,10,15
S670,115,1,6,4,95,6
S671,150,39,1,9,41,9
S672,26,33,7,9,97,7
S673,9,13,10,7,42,18
S674,123,4,1,23,62,18
S675,46,25,15,20,57,2
S676,109,10,10,16,18,0
S677,50,33,15,20,72,2
S678,29,4,2,21,33,17
S679,103,32,15,5,1,6
S680,14,0,9,2,29,19
S681,31,6,11,18,84,11
S682,147,39,10,10,70,8
S683,76,27,1,16,89,6
S684,81,2,13,6,16,19
S685,38,6,3,19,17,0
S686,143,11,11,17,95,14
S687,54,17,12,6,42,14
S688,0,1,6,18,54,20
S689,93,21,0,14,65,1
S690,140,0,12,16,29,9
S691,148,35,1,21,66,6
S692,33,40,15,5,82,7
S693,71,30,0,21,72,2
S694,60,25,8,24,79,2
S695,33,31,10,7,14,3
S696,17,34,2,15,92,20
S697,116,40,14,24,82,18
S698,117,2,15,17,11,2
S699,146,13,5,6,1,18
S700,63,7,14,18,71,4
S701,39,5,13,12,17,13
S702,67,3,6,19,43,20
S703,143,40,8,0,70,1
S704,146,4,9,1,66,9
S705,148,26,0,8,63,19
S706,17,7,8,16,49,1
S707,110,22,15,1,68,11
S708,79,21,13,9,88,14
S709,139,19,4,2,26,16
S710,68,3,8,16,49,9
S711,121,36,9,10,97,18
S712,103,8,5,5,20,1
S713,85,6,9,11,70,11
S714,69,25,6,20,4,3
S715,128,10,13,16,34,12
S716,11,15,11,17,26,1
S717,103,40,7,6,58,18
S718,125,31,4,14,0,5
S719,149,28,9,24,35,3
S720,138,4,0,4,37,6
S721,142,14,12,20,84,17
S722,51,33,10,1,76,9
S723,60,11,14,2,38,0
S724,117,33,12,4,83,20
S725,17,14,9,18,30,20
S726,10,12,13,0,42,9
S727,11,32,1,23,89,18
S728,17,7,14,19,32,20
S729,8,1,2,16,30,7
S730,101,27,8,20,58,14
S731,7,23,14,15,90,19
S732,71,2,7,14,100,16
S733,68,29,2,12,26,8
S734,108,17,1,21,56,14
S735,97,11,6,13,54,17
S736,37,25,7,19,57,9
S737,136,29,3,0,66,15
S738,11,38,3,16,81,6
S739,64,2,2,1,48,19
S740,66,19,3,17,10,2
S741,137,17,0,24,73,6
S742,75,29,0,3,63,3
S743,43,23,15,19,75,14
S744,46,4,0,21,18,8
S745,111,36,6,2,11,9
S746,60,32,7,0,36,18
S747,108,10,0,14,1,20
S748,123,17,1,20,56,12
S749,114,9,0,7,38,1
S750,44,10,13,14,5,13
S751,94,8,4,6,82,3
S752,128,35,1,8,14,9
S753,130,4,8,13,81,4
S754,77,33,15,9,75,1
S755,32,1,13,10,51,11
S756,38,15,7,3,37,7
S757,100,32,7,17,64,14
S758,102,30,3,16,98,6
S759,102,24,5,3,50,4
S760,74,32,5,6,35,15
S761,14,23,1,14,30,1
S762,45,9,6,8,69,14
S763,92,14,15,15,17,5
S764,33,22,4,24,39,2
S765,15,14,1,10,49,4
S766,115,27,13,17,21,10
S767,79,30,11,9,67,13
S768,118,21,4,1,39,10
S769,49,24,7,25,26,0
S770,107,15,4,11,75,19
S771,8,19,6,25,4,9
S772,5,32,3,16,84,10
S773,10,22,5,0,15,18
S774,126,14,10,13,27,13
S775,57,31,8,23,52,0
S776,31,39,14,0,70,15
S777,76,13,3,24,52,20
S778,142,5,12,2,43,9
S779,47,24,12,8,24,9
S780,100,14,15,23,52,11
S781,21,20,7,9,55,0
S782,106,0,9,2,56,10
S783,79,13,8,2,84,0
S784,28,10,14,24,30,3
S785,124,33,4,10,33,3
S786,22,7,11,6,48,6
S787,127,3,15,24,13,15
S788,53,24,5,9,56,1
S789,150,39,7,13,60,18
S790,47,32,5,10,39,17
S791,131,31,6,17,56,16
S792,87,40,8,20,9,17
S793,82,7,0,7,94,18
S794,78,38,11,10,47,3
S795,110,32,0,9,44,0
S796,88,12,9,4,47,14
S797,128,35,5,11,24,19
S798,38,21,10,2,25,6
S799,136,18,15,9,82,9
S800,105,0,11,22,62,3
S801,150,33,6,2,87,0
S802,55,36,9,14,50,15
S803,52,12,15,10,76,17
S804,60,18,14,17,10,1
S805,9,10,14,25,3,12
S806,10,7,4,21,36,4
S807,70,12,10,24,64,2
S808,35,11,15,17,57,0
S809,90,19,9,9,13,7
S810,18,40,3,16,6,13
S811,121,2,0,3,48,9
S812,48,20,0,2,1,0
S813,31,35,7,9,87,18
S814,39,31,13,10,16,1
S815,134,22,6,10,77,14
S816,76,17,14,10,58,20
S817,111,28,6,9,74,11
S818,18,20,4,23,54,5
S819,87,4,14,7,9,17
S820,47,23,6,25,17,16
S821,100,28,12,13,89,17
S822,67,27,10,25,84,4
S823,33,29,14,18,72,1
S824,86,5,5,3,32,12
S825,116,4,10,20,8,20
S826,123,23,15,20,24,14
S827,37,37,13,3,59,10
S828,37,29,0,14,32,1
S829,19,11,13,1,95,12
S830,62,3,13,11,28,2
S831,31,23,0,0,100,10
S832,15,22,9,6,27,5
S833,24,26,13,11,88,20
S834,49,37,5,1,22,7
S835,78,31,11,2,42,12
S836,142,8,5,22,8,16
S837,34,6,4,3,67,18
S838,76,12,8,4,84,2
S839,91,27,15,21,94,2
S840,49,34,1,17,74,15
S841,3,28,1,12,60,13
S842,115,32,10,15,42,7
S843,78,15,13,16,19,2
S844,85,28,1,9,2,14
S845,29,21,14,15,5,6
S846,26,9,0,3,36,16
S847,103,14,9,2,5,9
S848,134,15,15,23,37,10
S849,16,12,14,14,54,5
S850,142,15,7,18,18,14
S851,7,32,4,9,7,20
S852,0,30,4,14,33,4
S853,102,39,14,4,19,8
S854,83,31,4,25,4,5
S855,81,31,0,25,98,1
S856,49,5,12,4,77,18
S857,70,38,0,0,68,20
S858,134,18,5,3,59,19
S859,80,35,11,3,45,19
S860,130,3,3,24,89,17
S861,77,2,9,24,84,14
S862,37,23,1,13,97,1
S863,142,3,8,13,70,18
S864,26,31,4,1,5,15
S865,91,6,9,0,91,9
S866,10,32,6,7,75,20
S867,59,28,8,24,64,6
S868,140,40,1,12,68,0
S869,111,29,12,13,30,3
S870,47,24,4,10,59,20
S871,96,6,8,4,97,6
S872,115,6,15,18,87,13
S873,94,20,14,24,39,5
S874,81,11,11,5,89,3
S875,115,1,9,22,72,1
S876,92,16,13,1,19,8
S877,104,4,9,15,73,2
S878,38,36,13,14,26,14
S879,28,7,12,23,67,5
S880,89,7,12,11,52,3
S881,125,23,11,19,97,13
S882,107,9,9,13,33,3
S883,148,34,0,2,17,0
S884,33,39,14,9,75,14
S885,27,23,15,22,33,14
S886,87,32,10,22,96,20
S887,21,27,15,2,91,16
S888,4,16,7,12,20,0
S889,129,1,12,23,49,8
S890,2,30,5,1,13,11
S891,98,29,11,13,9,3
S892,39,38,6,7,97,10
S893,75,6,14,16,92,12
S894,29,23,14,22,84,8
S895,146,34,3,6,72,15
S896,127,10,11,21,61,4
S897,142,10,5,15,50,5
S898,95,2,4,0,41,2
S899,98,16,10,11,52,19
S900,16,38,15,6,10,20
S901,19,31,12,3,87,19
S902,144,27,4,19,62,13
S903,90,34,4,9,50,3
S904,86,20,13,8,64,15
S905,88,32,6,2,68,4
S906,98,40,0,23,14,10
S907,136,31,12,10,31,7
S908,103,26,2,20,8,12
S909,108,12,4,25,37,8
S910,150,33,14,24,52,5
S911,133,1,6,25,8,9
S912,150,21,3,3,11,3
S913,77,15,8,5,25,5
S914,75,25,5,25,96,14
S915,143,17,11,15,86,9
S916,128,18,13,18,41,16
S917,2,3,6,4,51,1
S918,106,24,2,15,80,0
S919,24,2,14,1,86,15
S920,69,4,12,12,77,15
S921,55,13,6,9,89,2
S922,100,32,3,5,100,5
S923,145,26,0,0,63,5
S924,142,31,4,20,81,10
S925,115,24,2,16,34,12
S926,25,11,6,20,80,1
S927,116,2,10,0,57,17
