student_id,average_quiz_score,assignment_score,final_exam_score,badges_earned,certified
S330,56,49,45,0,0
S331,78,72,72,8,1
S332,46,37,32,2,0
S333,71,61,64,2,1
S334,41,32,37,0,0
S335,68,67,52,2,1
S336,71,61,56,5,1
S337,70,70,54,0,1
S338,68,62,57,6,1
S339,40,34,36,2,0
S340,97,95,89,2,1
S341,52,46,45,1,0
S342,92,86,73,7,1
S343,77,67,73,2,1
S344,86,86,71,3,1
S345,60,59,54,3,0
S346,86,82,79,4,1
S347,58,57,45,2,0
S348,63,61,63,7,1
S349,49,42,31,1,0
S350,69,60,59,3,1
S351,62,55,52,4,1
S352,59,58,51,5,0
S353,56,46,38,7,0
S354,73,66,68,4,1
S355,48,46,30,3,0
S356,54,52,36,7,0
S357,45,44,28,2,0
S358,99,90,96,1,1
S359,81,77,72,1,1
S360,76,76,69,4,1
S361,56,46,49,2,0
S362,88,79,80,0,1
S363,88,78,81,1,1
S364,72,62,68,7,1
S365,89,88,83,0,1
S366,72,63,71,1,1
S367,87,79,79,1,1
S368,84,83,76,3,1
S369,80,78,75,5,1
S370,67,58,51,4,1
S371,74,67,70,5,1
S372,52,47,51,5,0
S373,95,87,88,7,1
S374,74,68,70,8,1
S375,54,51,35,8,0
S376,72,65,61,8,1
S377,65,65,49,1,1
S378,87,83,73,2,1
S379,82,81,68,3,1
S380,53,47,46,8,0
S381,63,57,53,1,1
S382,55,51,43,2,0
S383,43,38,31,7,0
S384,95,85,86,4,1
S385,70,63,68,7,1
S386,78,76,66,1,1
S387,98,94,90,6,1
S388,45,45,29,5,0
S389,100,97,93,7,1
S390,44,35,31,2,0
S391,81,76,67,0,1
S392,64,62,45,3,1
S393,72,68,68,6,1
S394,63,53,59,4,1
S395,92,92,72,5,1
S396,81,72,64,3,1
S397,94,92,91,1,1
S398,56,53,53,2,0
S399,67,60,66,4,1
S400,43,39,33,1,0
S401,68,65,51,5,1
S402,92,83,72,2,1
S403,41,35,38,5,0
S404,47,39,33,1,0
S405,87,87,81,2,1
S406,46,40,26,8,0
S407,43,40,37,0,0
S408,43,36,24,4,0
S409,98,88,95,4,1
S410,60,52,49,3,0
S411,96,95,82,0,1
S412,41,36,39,6,0
S413,89,87,88,2,1
S414,81,78,68,7,1
S415,53,50,50,6,0
S416,43,35,39,2,0
S417,63,55,51,4,1
S418,73,70,55,1,1
S419,72,69,57,2,1
S420,90,81,81,7,1
S421,94,93,82,7,1
S422,61,61,51,8,1
S423,78,76,61,6,1
S424,40,33,28,2,0
S425,41,36,22,3,0
S426,40,32,38,7,0
S427,89,80,81,0,1
S428,49,39,37,8,0
S429,82,80,82,5,1
S430,41,36,33,5,0
S431,95,87,85,5,1
S432,57,57,53,2,0
S433,74,65,66,3,1
S434,56,47,56,8,0
S435,57,53,57,3,0
S436,52,44,47,4,0
S437,71,67,56,5,1
S438,61,56,56,3,1
S439,69,68,67,4,1
S440,73,68,66,0,1
S441,42,39,28,4,0
S442,89,83,70,1,1
S443,74,65,58,8,1
S444,84,75,64,6,1
S445,54,54,51,5,0
S446,56,47,45,5,0
S447,62,60,47,7,1
S448,91,90,74,0,1
S449,90,89,74,1,1
S450,53,50,47,4,0
S451,57,51,47,3,0
S452,84,74,82,5,1
S453,47,40,47,6,0
S454,53,46,44,6,0
S455,74,69,64,1,1
S456,63,60,61,4,1
S457,54,48,39,1,0
S458,66,57,57,6,1
S459,70,66,51,4,1
S460,55,50,41,7,0
S461,96,91,94,0,1
S462,63,62,43,7,1
S463,78,70,63,0,1
S464,43,40,28,6,0
S465,98,91,93,5,1
S466,59,50,45,3,0
S467,86,78,72,3,1
S468,77,67,57,6,1
S469,67,67,50,8,1
S470,48,40,48,6,0
S471,89,82,88,8,1
S472,71,63,67,1,1
S473,41,40,30,1,0
S474,89,89,84,0,1
S475,63,56,61,4,1
S476,40,36,24,3,0
S477,46,41,46,1,0
S478,44,35,32,2,0
S479,76,75,74,3,1
S480,82,79,63,2,1
S481,84,80,66,4,1
S482,76,66,68,5,1
S483,78,74,77,3,1
S484,94,93,78,5,1
S485,51,47,39,2,0
S486,94,90,77,1,1
S487,47,39,37,0,0
S488,84,80,72,3,1
S489,64,55,61,1,1
S490,71,61,61,2,1
S491,75,74,73,4,1
S492,66,64,56,7,1
S493,63,56,47,7,1
S494,71,68,67,0,1
S495,97,95,92,3,1
S496,89,85,79,3,1
S497,90,90,77,1,1
S498,53,44,37,2,0
S499,65,61,61,5,1
S500,70,65,58,4,1
S501,90,89,84,8,1
S502,58,53,45,2,0
S503,75,66,55,0,1
S504,90,83,86,0,1
S505,67,58,54,1,1
S506,60,51,41,7,0
S507,85,80,83,1,1
S508,44,39,40,4,0
S509,83,76,65,3,1
S510,71,64,67,7,1
S511,66,60,50,7,1
S512,91,82,76,5,1
S513,72,68,63,3,1
S514,85,83,76,7,1
S515,41,36,32,8,0
S516,96,89,77,5,1
S517,75,67,70,7,1
S518,76,69,60,3,1
S519,45,39,29,4,0
S520,52,46,42,3,0
S521,97,97,89,8,1
S522,96,92,92,2,1
S523,79,70,73,1,1
S524,82,79,71,1,1
S525,65,64,49,2,1
S526,77,68,74,8,1
S527,47,40,34,3,0
S528,98,97,84,7,1
S529,59,51,50,6,0
S530,46,36,42,1,0
S531,83,80,77,2,1
S532,67,61,58,5,1
S533,92,87,77,1,1
S534,95,90,87,1,1
S535,54,52,34,1,0
S536,43,35,40,7,0
S537,81,72,79,2,1
S538,47,45,34,8,0
S539,92,88,81,5,1
S540,76,68,66,6,1
S541,42,42,22,3,0
S542,63,60,55,0,1
S543,67,65,59,0,1
S544,92,90,86,1,1
S545,68,66,67,5,1
S546,46,42,35,4,0
S547,47,40,44,8,0
S548,93,87,89,6,1
S549,65,64,50,4,1
S550,60,60,50,0,0
S551,65,56,50,8,1
S552,54,48,53,0,0
S553,96,91,79,4,1
S554,57,50,42,0,0
S555,79,77,79,3,1
S556,81,80,61,7,1
S557,69,69,65,2,1
S558,65,63,52,6,1
S559,100,100,100,6,1
S560,79,69,77,3,1
S561,63,56,49,4,1
S562,52,42,45,5,0
S563,45,45,34,0,0
S564,61,56,48,8,1
S565,55,54,46,3,0
S566,54,54,53,1,0
S567,99,89,87,4,1
S568,87,83,87,0,1
S569,45,41,40,0,0
S570,86,82,71,4,1
S571,72,63,63,4,1
S572,45,40,25,3,0
S573,75,75,69,0,1
S574,84,79,80,1,1
S575,81,73,68,8,1
S576,64,56,54,4,1
S577,71,61,53,6,1
S578,78,73,76,3,1
S579,42,42,29,7,0
S580,48,48,44,8,0
S581,60,54,42,5,0
S582,67,60,65,5,1
S583,72,67,63,2,1
S584,99,92,83,6,1
S585,70,63,58,7,1
S586,62,55,45,6,1
S587,53,52,35,0,0
S588,67,57,58,5,1
S589,43,43,40,2,0
S590,66,57,55,4,1
S591,58,52,42,8,0
S592,51,48,46,5,0
S593,71,69,69,2,1
S594,80,78,63,2,1
S595,80,80,76,6,1
S596,82,81,63,6,1
S597,83,76,73,8,1
S598,95,90,79,0,1
S599,49,42,35,2,0
S600,77,77,76,8,1
S601,92,87,72,3,1
S602,41,35,41,2,0
S603,93,88,73,7,1
S604,92,84,86,3,1
S605,91,81,83,8,1
S606,44,43,24,3,0
S607,40,38,28,6,0
S608,98,98,96,7,1
S609,57,48,54,0,0
S610,98,88,86,3,1
S611,66,57,61,1,1
S612,74,73,73,1,1
S613,62,56,48,7,1
S614,46,43,42,3,0
S615,98,89,92,5,1
S616,72,63,63,7,1
S617,95,89,87,3,1
S618,89,86,71,0,1
S619,80,79,76,2,1
S620,74,74,58,2,1
S621,76,70,66,2,1
S622,62,56,55,2,1
S623,74,64,62,2,1
S624,66,56,48,0,1
S625,56,51,48,6,0
S626,43,34,23,3,0
S627,81,79,78,1,1
S628,84,82,81,7,1
S629,56,48,49,1,0
S630,63,63,63,3,1
S631,80,77,75,1,1
S632,42,35,42,3,0
S633,74,66,63,3,1
S634,70,70,58,6,1
S635,89,84,82,6,1
S636,46,43,43,0,0
S637,73,69,66,5,1
S638,74,68,72,5,1
S639,66,58,58,0,1
S640,94,94,77,8,1
S641,40,35,34,5,0
S642,64,58,48,6,1
S643,80,77,78,4,1
S644,43,33,25,1,0
S645,87,77,78,8,1
S646,82,76,73,7,1
S647,95,95,94,8,1
S648,43,41,38,6,0
S649,42,41,32,0,0
S650,95,88,85,8,1
S651,73,72,59,5,1
S652,80,73,75,8,1
S653,83,77,71,7,1
S654,44,35,40,3,0
S655,96,94,76,5,1
S656,86,79,72,6,1
S657,70,62,59,7,1
S658,65,59,62,2,1
S659,53,50,39,0,0
S660,63,61,62,1,1
S661,93,83,77,2,1
S662,43,37,37,6,0
S663,82,82,71,6,1
S664,100,90,80,6,1
S665,93,93,90,4,1
S666,91,84,81,2,1
S667,45,44,28,3,0
S668,47,41,40,6,0
S669,48,45,46,4,0
S670,50,40,43,3,0
S671,42,35,38,8,0
S672,91,89,77,6,1
S673,95,90,81,3,1
S674,68,68,54,0,1
S675,75,67,60,2,1
S676,82,74,72,5,1
S677,40,40,33,1,0
S678,60,58,58,0,0
S679,78,73,73,4,1
S680,64,60,61,6,1
S681,47,41,38,4,0
S682,74,67,73,1,1
S683,82,79,63,0,1
S684,49,39,38,7,0
S685,90,88,75,2,1
S686,50,42,34,7,0
S687,91,84,88,4,1
S688,99,89,80,4,1
S689,72,69,61,3,1
S690,57,50,48,8,0
S691,61,61,43,4,1
S692,91,81,86,4,1
S693,51,42,51,4,0
S694,62,52,58,3,1
S695,43,37,40,1,0
S696,66,62,53,6,1
S697,52,49,46,3,0
S698,55,49,38,8,0
S699,81,72,73,8,1
S700,77,73,71,5,1
S701,64,56,47,3,1
S702,60,56,43,3,0
S703,99,94,90,2,1
S704,83,83,79,4,1
S705,89,88,86,8,1
S706,84,77,64,1,1
S707,83,77,74,6,1
S708,94,91,74,1,1
S709,50,47,30,1,0
S710,88,87,85,0,1
S711,96,90,94,3,1
S712,43,35,33,5,0
S713,68,67,56,1,1
S714,54,45,38,0,0
S715,70,69,68,5,1
S716,100,92,94,5,1
S717,44,41,32,1,0
S718,70,64,54,2,1
S719,63,56,45,5,1
S720,63,61,62,0,1
S721,61,61,44,7,1
S722,71,67,59,8,1
S723,76,70,56,5,1
S724,97,87,95,6,1
S725,88,82,74,8,1
S726,58,53,44,1,0
S727,78,70,72,7,1
S728,91,88,73,7,1
S729,79,79,69,0,1
S730,98,88,97,6,1
S731,83,77,64,2,1
S732,73,73,55,8,1
S733,51,46,33,8,0
S734,91,84,71,7,1
S735,95,95,76,6,1
S736,69,60,51,4,1
S737,59,56,48,3,0
S738,77,70,62,1,1
S739,72,67,64,8,1
S740,80,76,71,5,1
S741,51,43,44,6,0
S742,49,39,34,2,0
S743,57,51,46,6,0
S744,52,47,51,8,0
S745,42,34,37,2,0
S746,87,87,74,3,1
S747,87,78,72,8,1
S748,56,47,43,1,0
S749,70,66,69,5,1
S750,82,75,67,7,1
S751,99,98,91,8,1
S752,48,47,39,6,0
S753,64,55,62,1,1
S754,55,55,39,6,0
S755,80,71,75,7,1
S756,88,78,76,8,1
S757,76,71,76,0,1
S758,83,81,78,6,1
S759,54,52,44,6,0
S760,42,40,35,8,0
S761,75,71,57,2,1
S762,70,67,51,6,1
S763,84,84,79,3,1
S764,53,50,47,7,0
S765,42,32,23,2,0
S766,40,31,20,5,0
S767,59,53,53,7,0
S768,42,39,30,5,0
S769,68,61,66,5,1
S770,73,69,70,1,1
S771,82,73,78,5,1
S772,65,55,60,2,1
S773,40,33,20,2,0
S774,65,56,51,4,1
S775,60,56,44,0,0
S776,88,80,80,0,1
S777,43,35,26,8,0
S778,73,72,65,3,1
S779,55,49,40,8,0
S780,63,62,48,1,1
S781,62,54,46,0,1
S782,41,31,40,7,0
S783,43,39,34,8,0
S784,65,55,53,7,1
S785,65,57,49,8,1
S786,76,68,63,0,1
S787,93,85,85,0,1
S788,43,39,27,7,0
S789,49,49,38,6,0
S790,46,43,42,3,0
S791,97,89,80,4,1
S792,79,77,61,6,1
S793,81,73,61,6,1
S794,78,78,61,5,1
S795,88,85,74,1,1
S796,53,48,35,0,0
S797,67,67,58,6,1
S798,74,67,59,0,1
S799,94,86,79,0,1
S800,56,52,40,3,0
S801,82,72,67,4,1
S802,94,89,79,5,1
S803,79,76,63,8,1
S804,76,68,70,1,1
S805,82,74,71,0,1
S806,98,93,87,3,1
S807,50,41,49,1,0
S808,61,51,44,5,1
S809,95,93,76,0,1
S810,93,88,84,2,1
S811,92,92,91,0,1
S812,58,50,41,8,0
S813,79,69,61,7,1
S814,95,92,94,5,1
S815,85,78,72,2,1
S816,97,97,82,4,1
S817,69,59,51,1,1
S818,62,56,59,2,1
S819,78,78,70,4,1
S820,82,76,72,3,1
S821,42,38,39,3,0
S822,78,69,75,3,1
S823,72,66,68,1,1
S824,85,79,76,6,1
S825,83,77,83,6,1
S826,75,67,66,5,1
S827,72,69,54,2,1
S828,57,53,51,6,0
S829,88,86,71,6,1
S830,51,45,35,3,0
S831,64,58,48,4,1
S832,85,79,84,0,1
S833,48,39,33,5,0
S834,55,52,41,5,0
S835,62,56,61,6,1
S836,54,46,37,2,0
S837,64,60,50,2,1
S838,99,96,83,5,1
S839,88,88,88,5,1
S840,81,80,78,1,1
S841,71,66,69,3,1
S842,73,72,66,1,1
S843,79,71,62,2,1
S844,60,56,46,5,0
S845,94,92,78,0,1
S846,59,52,40,1,0
S847,60,50,56,3,0
S848,40,30,36,5,0
S849,95,90,92,7,1
S850,66,59,59,6,1
S851,49,39,30,4,0
S852,89,85,89,3,1
S853,95,87,95,4,1
S854,84,82,84,1,1
S855,72,69,63,4,1
S856,83,74,76,0,1
S857,96,94,87,7,1
S858,78,78,75,7,1
S859,82,80,75,5,1
S860,49,41,39,5,0
S861,98,89,89,6,1
S862,54,51,38,4,0
S863,100,97,91,3,1
S864,49,41,47,4,0
S865,57,48,47,7,0
S866,83,80,67,6,1
S867,90,86,83,4,1
S868,92,83,73,5,1
S869,81,72,75,1,1
S870,43,42,42,0,0
S871,97,93,77,2,1
S872,52,47,34,6,0
S873,94,87,79,7,1
S874,93,91,79,5,1
S875,100,94,98,0,1
S876,54,54,42,3,0
S877,42,35,41,5,0
S878,50,44,31,3,0
S879,95,90,89,7,1
S880,100,92,90,4,1
S881,50,42,35,8,0
S882,100,99,91,6,1
S883,100,95,99,5,1
S884,53,53,49,1,0
S885,68,64,58,1,1
S886,51,45,44,3,0
S887,54,53,37,2,0
S888,60,54,50,2,0
S889,77,70,60,4,1
S890,55,50,55,6,0
S891,91,88,77,2,1
S892,88,80,70,4,1
S893,75,66,55,1,1
S894,72,68,71,2,1
S895,88,83,82,5,1
S896,90,87,72,1,1
S897,52,44,51,0,0
S898,53,53,41,3,0
S899,40,30,32,7,0
S900,89,86,88,2,1
S901,93,90,74,1,1
S902,45,40,45,5,0
S903,50,42,40,2,0
S904,82,80,71,4,1
S905,67,65,59,1,1
S906,91,82,72,6,1
S907,88,80,72,2,1
S908,87,87,69,6,1
S909,84,74,81,2,1
S910,99,94,89,4,1
S911,41,37,31,1,0
S912,78,70,78,3,1
S913,47,47,43,1,0
S914,90,89,75,7,1
S915,41,38,36,5,0
S916,73,73,69,0,1
S917,57,56,45,7,0
S918,80,73,63,6,1
S919,85,83,71,5,1
S920,71,62,69,6,1
S921,53,52,35,4,0
S922,48,48,34,4,0
S923,48,38,46,5,0
S924,44,44,25,2,0
S925,64,56,55,8,1
S926,43,39,36,1,0
S927,97,87,81,5,1
S928,87,83,78,4,1
S929,85,79,76,4,1
S930,66,62,46,2,1
S931,84,84,74,4,1
S932,59,49,47,4,0
S933,72,69,55,6,1
S934,65,64,54,7,1
S935,71,62,62,5,1
S936,78,76,60,2,1
S937,96,91,85,2,1
S938,69,64,56,8,1
S939,41,39,29,7,0
S940,92,83,84,1,1
S941,99,96,81,2,1
S942,82,81,64,5,1
S943,60,57,43,5,0
S944,81,77,77,8,1
S945,91,89,77,4,1
S946,53,47,34,3,0
S947,82,76,75,4,1
S948,58,54,40,0,0
S949,88,86,69,7,1
S950,57,56,54,8,0
S951,67,64,64,0,1
S952,87,84,80,6,1
S953,52,48,42,8,0
S954,58,56,51,5,0
S955,75,70,71,6,1
S956,97,91,77,2,1
S957,99,99,84,8,1
S958,86,80,68,3,1
S959,54,48,53,2,0
S960,79,77,78,8,1
S961,73,71,65,0,1
S962,77,68,71,6,1
S963,85,75,83,5,1
S964,58,52,52,5,0
S965,89,79,69,3,1
S966,75,68,57,5,1
S967,89,87,74,6,1
S968,89,84,74,0,1
S969,64,57,61,5,1
S970,83,82,68,3,1
S971,45,40,45,6,0
S972,93,91,87,1,1
S973,70,62,50,5,1
S974,71,66,60,8,1
S975,74,69,66,8,1
S976,93,91,87,6,1
S977,82,74,62,6,1
S978,40,37,40,1,0
S979,71,65,67,4,1
S980,70,69,63,3,1
S981,60,59,49,4,0
S982,75,70,67,5,1
S983,90,88,76,3,1
S984,72,64,63,5,1
S985,49,44,49,7,0
S986,70,69,53,8,1
S987,45,43,31,2,0
S988,51,50,51,1,0
S989,69,64,57,7,1
S990,69,61,57,1,1
S991,96,90,77,6,1
S992,55,47,37,6,0
S993,86,79,83,7,1
S994,68,64,50,5,1
S995,88,83,73,3,1
S996,78,72,70,8,1
S997,44,39,38,0,0
S998,71,64,54,4,1
S999,100,91,100,6,1
S1000,68,58,66,8,1
S1001,98,96,95,8,1
S1002,81,74,65,4,1
S1003,76,74,64,1,1
S1004,80,79,66,8,1
S1005,90,87,85,6,1
S1006,64,58,64,8,1
S1007,43,37,42,1,0
S1008,75,66,64,6,1
S1009,89,84,83,3,1
S1010,69,67,55,3,1
S1011,78,70,66,3,1
S1012,93,86,76,8,1
S1013,73,68,60,7,1
S1014,65,63,47,5,1
S1015,44,41,43,3,0
S1016,81,79,63,4,1
S1017,57,48,43,7,0
S1018,96,94,96,5,1
S1019,51,44,42,3,0
S1020,52,47,52,3,0
S1021,94,87,82,1,1
S1022,43,41,39,2,0
S1023,44,39,36,5,0
S1024,66,65,49,4,1
S1025,54,50,39,1,0
S1026,71,63,60,0,1
S1027,91,86,75,5,1
S1028,95,93,78,8,1
S1029,96,94,86,6,1
S1030,59,53,51,8,0
S1031,94,85,87,4,1
S1032,73,68,69,4,1
S1033,88,81,73,4,1
S1034,75,71,57,8,1
S1035,62,56,57,0,1
S1036,54,51,40,3,0
S1037,99,89,99,0,1
S1038,52,51,43,6,0
S1039,70,70,53,4,1
S1040,98,97,85,5,1
S1041,56,47,40,6,0
S1042,50,45,32,7,0
S1043,78,73,74,6,1
S1044,51,47,38,6,0
S1045,45,40,35,0,0
S1046,89,86,85,7,1
S1047,80,73,71,1,1
S1048,48,46,40,7,0
S1049,100,99,80,0,1
S1050,49,47,46,2,0
S1051,51,44,50,1,0
S1052,82,72,77,3,1
S1053,77,73,75,7,1
S1054,62,60,61,0,1
S1055,64,64,55,7,1
S1056,82,80,80,6,1
S1057,43,33,28,8,0
S1058,78,71,65,6,1
S1059,95,89,94,2,1
S1060,57,50,55,6,0
S1061,84,80,67,8,1
S1062,54,50,37,1,0
S1063,50,49,35,3,0
S1064,80,73,79,2,1
S1065,69,62,60,1,1
S1066,45,41,36,7,0
