student_id,age,education_level,country,course_category,course_difficulty,total_login_days,avg_session_time_min,total_study_time_min,last_login_days_ago,videos_watched,quizzes_attempted,assignments_submitted,progress_percent,final_exam_score,payment_amount,consistent_weekly_study,dropout
S98,27,UG,India,Science,Intermediate,5,14,2953,37,143,0,2,64,55,200,1,1
S99,34,UG,UK,AI/ML,Beginner,77,58,5622,41,26,29,3,83,61,0,1,0
S100,35,Diploma,Australia,Science,Beginner,84,37,2138,6,128,18,15,19,78,0,1,0
S101,28,UG,India,Science,Intermediate,43,23,5314,1,30,23,4,93,68,200,1,0
S102,21,PG,India,Business,Beginner,73,30,1120,53,141,25,4,79,68,200,1,0
S103,23,School,UK,AI/ML,Beginner,39,78,5833,14,106,32,14,8,82,300,1,0
S104,28,PG,Canada,Science,Advanced,5,26,1262,34,90,24,1,16,52,200,1,1
S105,35,School,UK,Science,Intermediate,87,75,2121,41,106,18,2,41,81,0,1,0
S106,37,UG,Canada,Business,Intermediate,44,66,1458,5,118,39,9,57,30,300,1,0
S107,22,School,India,AI/ML,Beginner,8,17,1388,6,74,29,7,43,86,200,1,0
S108,41,UG,Australia,Science,Advanced,25,60,1674,26,0,33,3,1,69,100,0,1
S109,42,Diploma,Canada,Science,Beginner,69,85,2885,30,58,15,3,98,70,200,0,1
S110,21,School,UK,AI/ML,Beginner,19,85,1006,2,80,26,12,12,69,300,1,0
S111,32,UG,UK,Business,Advanced,68,22,3401,48,25,18,2,69,72,0,1,0
S112,26,UG,Australia,AI/ML,Beginner,65,68,3554,31,10,32,2,16,60,100,1,0
S113,35,PG,Canada,Science,Intermediate,54,70,3161,22,96,30,14,35,88,200,0,0
S114,43,School,UK,Business,Advanced,11,86,1201,13,7,6,12,20,94,300,1,0
S115,20,Diploma,Australia,AI/ML,Beginner,92,49,1178,46,106,32,9,62,24,100,0,1
S116,30,PG,India,Science,Beginner,8,20,5827,56,41,13,14,94,43,0,1,0
S117,25,PG,Canada,Science,Beginner,51,50,1909,5,98,24,15,72,73,0,1,0
S118,18,PG,Canada,Business,Advanced,61,66,1144,38,36,35,6,42,49,100,1,0
S119,37,Diploma,Australia,Science,Intermediate,6,10,1330,38,130,38,8,89,31,200,1,1
S120,18,School,Australia,AI/ML,Beginner,54,52,5749,32,97,30,4,53,66,100,1,0
S121,29,School,USA,Business,Advanced,68,58,286,22,75,37,12,58,72,300,0,1
S122,36,UG,USA,Science,Beginner,52,88,5712,52,43,21,5,7,55,300,0,1
S123,28,Diploma,USA,Business,Advanced,13,86,3379,25,150,37,1,17,87,0,0,0
S124,45,Diploma,Canada,Science,Beginner,26,54,2422,48,81,12,15,27,70,300,0,0
S125,22,Diploma,Australia,Business,Advanced,26,76,3114,50,31,36,13,79,86,0,0,0
S126,21,UG,India,Science,Advanced,95,11,3743,28,150,18,4,71,71,300,1,0
S127,28,UG,India,Science,Beginner,89,48,4688,45,18,25,8,33,61,300,0,1
S128,27,PG,USA,Business,Advanced,28,89,2023,53,35,8,14,20,53,300,1,1
S129,19,PG,UK,Science,Intermediate,12,16,5307,48,135,14,10,8,52,0,1,1
S130,19,Diploma,USA,Science,Beginner,14,72,4996,44,131,12,4,13,43,100,1,1
S131,21,PG,USA,AI/ML,Intermediate,33,46,1312,30,16,1,8,68,40,300,1,1
S132,31,Diploma,Australia,AI/ML,Beginner,6,82,3387,54,95,2,7,25,57,200,1,1
S133,44,Diploma,UK,Science,Beginner,50,60,5719,16,95,13,15,50,73,300,1,0
S134,45,PG,UK,Science,Beginner,94,59,1947,47,6,15,9,19,27,300,1,0
S135,28,UG,USA,Science,Beginner,15,38,3793,46,36,25,11,32,53,200,1,0
S136,32,UG,Canada,Science,Beginner,99,64,1848,60,143,10,12,8,42,300,1,0
S137,39,PG,USA,Science,Beginner,65,24,2487,39,92,30,15,57,66,300,0,0
S138,30,UG,Canada,Science,Intermediate,63,14,1446,38,93,29,9,2,28,100,1,0
S139,39,PG,Australia,Science,Beginner,64,78,2459,27,75,5,7,64,37,200,0,0
S140,35,School,India,Science,Intermediate,11,20,996,3,65,21,1,24,29,0,0,0
S141,21,UG,Canada,Science,Advanced,89,19,1688,46,3,7,13,70,54,0,1,0
S142,31,PG,Canada,Science,Beginner,88,19,2107,46,99,16,8,75,70,300,1,0
S143,44,UG,Canada,Business,Advanced,23,60,815,39,47,6,15,7,53,100,1,0
S144,34,School,Canada,Business,Advanced,10,30,4335,23,3,5,8,39,33,300,1,0
S145,30,School,Australia,AI/ML,Beginner,13,59,1767,54,140,19,11,34,62,300,1,0
S146,29,Diploma,India,Business,Beginner,30,81,225,16,3,0,3,27,31,300,1,0
S147,33,UG,USA,AI/ML,Beginner,86,30,4985,11,10,3,3,1,77,200,1,0
S148,23,UG,UK,Business,Advanced,41,80,2580,1,127,34,12,78,41,100,0,1
S149,29,School,India,Science,Intermediate,40,76,2669,35,97,15,13,97,64,300,0,0
S150,43,UG,Australia,Science,Advanced,9,41,2035,44,145,10,11,91,71,0,0,0
S151,43,UG,Canada,Science,Beginner,51,41,2162,11,50,39,8,44,92,300,1,0
S152,23,UG,USA,Science,Advanced,93,56,5386,57,66,25,0,75,27,0,1,0
S153,30,School,UK,Science,Intermediate,75,64,4552,39,122,4,9,9,73,0,0,0
S154,20,PG,UK,Science,Advanced,99,67,757,60,7,13,6,51,40,200,1,0
S155,24,UG,USA,AI/ML,Intermediate,10,13,2988,9,136,25,6,75,21,100,1,1
S156,40,UG,Canada,Science,Intermediate,46,29,3587,52,73,12,2,86,24,300,1,0
S157,24,Diploma,Australia,Science,Advanced,18,51,1205,59,45,13,0,74,82,100,1,0
S158,18,Diploma,India,AI/ML,Beginner,33,87,1855,31,138,40,8,48,62,200,0,1
S159,34,Diploma,India,Science,Intermediate,43,50,3577,53,27,10,8,85,33,0,0,0
S160,39,UG,Australia,Science,Intermediate,53,52,5024,55,84,18,0,1,58,200,0,0
S161,24,UG,Canada,AI/ML,Beginner,2,60,2753,30,23,31,7,46,73,300,0,1
S162,25,PG,USA,Business,Beginner,4,46,604,42,44,15,15,97,83,300,0,0
S163,24,PG,UK,Coding,Beginner,67,55,1428,30,104,21,11,27,78,300,0,0
S164,18,PG,USA,Coding,Advanced,15,11,3761,30,93,11,6,74,96,200,1,1
S165,45,PG,UK,Business,Advanced,91,42,2860,20,37,24,3,45,54,100,0,0
S166,28,Diploma,UK,Math,Beginner,44,21,1611,2,47,32,2,12,71,200,1,1
S167,18,Diploma,India,Science,Beginner,99,88,2838,51,139,24,12,10,94,100,1,1
S168,38,School,UK,Science,Advanced,75,54,1064,26,71,5,10,96,36,100,1,0
S169,45,Diploma,Australia,Science,Advanced,19,90,5787,4,97,15,0,66,49,100,1,0
S170,25,PG,Australia,Business,Beginner,45,41,1877,8,54,38,10,24,53,300,0,1
S171,27,Diploma,Canada,AI/ML,Intermediate,5,80,5336,42,86,37,5,30,51,200,1,1
S172,28,UG,USA,Business,Intermediate,57,83,2174,15,14,31,6,36,33,100,0,0
S173,22,PG,UK,Science,Intermediate,63,82,5662,21,110,23,7,70,49,200,1,0
S174,30,UG,Canada,Science,Advanced,31,76,1792,10,34,14,5,29,53,200,0,1
S175,39,PG,Australia,Science,Intermediate,23,80,4845,53,52,19,14,82,58,300,0,0
S176,36,School,Canada,Science,Beginner,80,31,1515,45,20,22,13,40,78,0,0,0
S177,42,Diploma,USA,Science,Intermediate,95,27,1419,26,116,3,9,23,45,200,1,0
S178,18,School,USA,Science,Intermediate,76,56,5932,27,102,31,6,65,83,100,1,0
S179,20,School,Canada,AI/ML,Beginner,30,48,832,5,84,34,8,22,70,300,1,0
S180,26,Diploma,UK,Science,Beginner,4,53,1656,38,103,6,11,65,57,0,0,0
S181,28,PG,India,Business,Intermediate,30,83,1454,7,23,40,14,61,69,0,1,0
S182,18,School,USA,Business,Advanced,60,44,698,2,5,19,1,82,55,100,0,0
S183,32,Diploma,USA,Business,Advanced,78,36,5203,51,78,15,14,16,65,200,0,1
S184,24,School,Canada,Science,Intermediate,57,64,2947,17,149,28,15,40,66,0,1,0
S185,35,UG,USA,Science,Beginner,55,13,1271,33,102,19,12,89,71,300,1,0
S186,25,School,Canada,Science,Beginner,8,87,528,38,119,12,9,58,40,300,1,0
S187,42,PG,USA,Science,Beginner,53,64,1659,23,140,37,0,15,59,300,1,1
S188,27,UG,UK,Business,Intermediate,50,14,3084,33,108,6,11,5,93,0,1,0
S189,23,UG,India,Business,Advanced,67,20,5871,22,106,34,10,61,38,300,1,0
S190,36,PG,Canada,Math,Beginner,69,66,790,59,74,27,13,72,46,200,0,0
S191,23,Diploma,India,Science,Beginner,34,80,5035,28,27,31,6,11,79,100,0,0
S192,21,School,USA,Business,Intermediate,8,70,4424,43,18,38,12,34,27,200,1,0
S193,19,PG,Canada,Business,Intermediate,95,56,1148,36,108,30,6,47,49,300,0,1
S194,21,UG,Australia,Coding,Beginner,61,73,1450,46,131,38,13,62,57,0,0,1
S195,22,School,India,AI/ML,Beginner,62,17,3622,26,122,38,1,85,40,0,1,1
S196,37,UG,UK,Science,Beginner,9,76,3060,38,59,26,5,81,45,100,1,0
S197,25,School,Australia,Science,Intermediate,45,19,489,10,124,35,2,97,55,0,1,0
S198,34,UG,USA,Science,Beginner,68,81,2015,47,147,26,7,28,73,200,0,1
S199,32,Diploma,USA,AI/ML,Beginner,51,87,4024,35,20,25,4,47,63,300,0,1
S200,44,Diploma,Canada,Science,Intermediate,13,77,2612,23,99,30,12,69,72,0,1,0
S201,42,UG,Australia,Science,Intermediate,53,50,2164,45,37,38,9,14,80,100,0,0
S202,43,PG,Australia,Science,Beginner,88,88,3882,24,20,32,15,55,31,200,0,0
S203,21,School,UK,Business,Beginner,4,74,381,15,24,36,2,26,88,300,0,0
S204,19,PG,India,Science,Beginner,51,67,4063,27,22,3,2,28,47,100,0,0
S205,33,School,UK,AI/ML,Beginner,12,67,678,3,24,22,12,45,37,200,0,0
S206,35,School,UK,Science,Advanced,47,44,2186,54,79,13,3,3,55,0,1,0
S207,45,School,India,Science,Intermediate,9,37,4167,57,59,20,14,85,82,300,1,1
S208,34,UG,Australia,Science,Beginner,17,66,4417,0,41,37,8,52,69,0,1,0
S209,20,Diploma,India,Business,Intermediate,43,38,5200,55,4,14,11,91,38,200,1,0
S210,34,School,UK,AI/ML,Beginner,39,29,3132,1,30,18,14,43,81,200,0,0
S211,34,Diploma,USA,Science,Beginner,82,12,3528,51,12,32,3,83,43,200,1,0
S212,36,School,India,Business,Intermediate,75,74,5960,1,78,18,8,54,54,200,1,0
S213,45,Diploma,USA,Business,Advanced,10,10,3556,7,10,1,8,6,49,0,1,0
S214,27,Diploma,USA,Science,Beginner,21,14,5823,42,38,22,10,33,65,200,0,1
S215,26,UG,Australia,Science,Advanced,36,20,3370,46,146,18,13,2,74,100,1,0
S216,31,PG,UK,Science,Beginner,74,33,679,41,75,31,1,74,44,200,1,0
S217,29,Diploma,Australia,Science,Intermediate,38,90,4145,39,88,5,2,27,53,200,1,0
S218,29,UG,Canada,Coding,Advanced,56,71,5625,25,17,40,14,36,66,0,0,0
S219,44,PG,Australia,Science,Beginner,18,41,3067,33,10,14,0,64,61,100,1,1
S220,39,UG,India,Science,Intermediate,61,35,4083,37,57,39,14,57,58,100,1,0
S221,36,Diploma,USA,Science,Beginner,21,42,4082,4,127,19,4,78,76,0,0,0
S222,26,School,Australia,Business,Intermediate,33,72,4945,60,96,16,7,34,85,200,0,1
S223,37,UG,India,Business,Beginner,80,22,613,25,102,1,2,0,42,200,0,0
S224,37,PG,India,Science,Beginner,91,90,5264,24,28,17,7,33,83,200,1,1
S225,38,PG,Canada,AI/ML,Beginner,47,55,1334,31,60,35,13,19,86,300,1,1
S226,18,PG,USA,Science,Intermediate,25,59,5051,20,105,14,14,67,51,100,1,0
S227,20,Diploma,Canada,Science,Beginner,54,39,2714,42,80,38,12,33,76,200,0,1
S228,39,UG,Australia,Business,Advanced,2,70,5005,44,111,16,10,99,84,300,1,0
S229,25,UG,Australia,Science,Beginner,5,72,3467,24,96,37,4,60,39,0,0,0
S230,45,School,Canada,Business,Intermediate,73,89,888,47,76,15,3,14,44,200,1,0
S231,40,PG,Canada,Science,Intermediate,26,60,5441,12,37,35,3,44,57,300,1,1
S232,31,Diploma,Canada,Math,Beginner,44,18,4917,17,65,6,8,62,90,100,0,0
S233,22,UG,Australia,Science,Beginner,17,87,2936,19,99,7,9,84,57,200,0,0
S234,37,UG,USA,Science,Intermediate,3,85,1340,38,11,37,15,54,70,300,1,0
S235,42,Diploma,Canada,AI/ML,Beginner,58,20,1462,20,96,21,4,33,56,200,0,1
S236,21,UG,USA,Business,Advanced,50,85,1979,43,49,18,14,43,70,0,0,0
S237,30,Diploma,Australia,Coding,Advanced,42,61,2410,20,122,23,1,8,66,0,0,0
S238,34,School,Australia,Science,Intermediate,56,89,5072,23,87,36,3,50,58,0,0,0
S239,30,School,Canada,Business,Intermediate,2,85,1224,16,53,35,2,75,54,0,1,0
S240,29,UG,India,Science,Beginner,99,32,3400,35,16,1,8,0,61,100,0,1
S241,25,UG,India,Science,Advanced,36,48,4472,41,108,24,6,34,69,0,0,1
S242,30,School,UK,Science,Beginner,37,17,1129,21,91,36,14,67,80,300,1,0
S243,43,Diploma,UK,Science,Intermediate,47,11,5278,11,7,25,9,41,70,0,1,0
S244,20,Diploma,USA,AI/ML,Beginner,34,23,3133,51,32,5,2,91,38,200,1,0
S245,45,PG,India,Business,Beginner,24,46,2735,35,55,12,9,21,79,100,0,1
S246,37,PG,India,Coding,Advanced,95,82,604,13,2,23,2,51,79,0,0,0
S247,39,PG,Australia,Business,Advanced,42,27,4238,54,43,5,6,42,55,100,0,0
S248,37,PG,USA,Science,Advanced,39,24,405,11,15,15,5,37,70,100,1,1
S249,28,UG,India,Business,Beginner,79,62,5722,15,64,24,3,30,45,300,0,0
S250,29,UG,Canada,Business,Advanced,57,72,1303,24,142,19,10,29,44,200,0,0
S251,35,PG,Australia,AI/ML,Beginner,98,42,5108,53,118,16,10,39,68,100,0,1
S252,35,Diploma,Canada,Science,Intermediate,87,12,2955,47,73,4,8,37,76,100,0,1
S253,36,PG,Canada,Science,Beginner,77,82,1149,25,14,17,7,67,68,300,1,0
S254,28,School,Canada,Business,Advanced,84,26,5383,0,106,32,0,71,61,0,1,0
S255,22,UG,Australia,Science,Beginner,57,63,4678,9,11,33,8,80,63,200,0,0
S256,45,PG,Australia,Coding,Advanced,72,54,4725,58,46,17,2,71,54,200,1,1
S257,34,PG,India,AI/ML,Intermediate,75,66,2155,44,45,16,6,33,30,0,1,0
S258,19,Diploma,Canada,Business,Intermediate,32,71,271,44,36,3,8,16,31,0,0,0
S259,33,Diploma,USA,Science,Beginner,56,68,2392,9,93,24,14,50,81,200,1,0
S260,41,UG,Canada,Business,Advanced,14,83,5510,12,29,17,9,35,98,100,0,0
S261,40,UG,UK,Science,Beginner,86,47,4225,52,39,15,6,88,40,100,0,0
S262,45,School,USA,Science,Intermediate,64,62,5272,33,52,6,9,31,56,200,1,0
S263,40,Diploma,Canada,Science,Advanced,72,81,5282,47,148,35,13,97,42,0,1,1
S264,18,Diploma,India,Science,Advanced,78,40,2596,49,100,1,9,49,73,0,0,0
S265,26,Diploma,India,Business,Beginner,82,62,1347,35,48,16,12,9,90,100,0,1
S266,45,School,UK,Science,Advanced,65,76,1414,60,138,9,7,43,88,200,1,0
S267,37,UG,USA,Science,Advanced,20,65,3706,37,136,5,5,76,42,300,0,0
S268,32,PG,India,Science,Beginner,17,18,5351,50,147,21,9,56,69,100,1,0
S269,29,UG,India,Science,Beginner,80,86,425,47,113,1,14,91,72,0,0,0
S270,45,PG,India,Business,Advanced,39,54,5889,32,25,22,15,56,37,300,1,1
S271,21,Diploma,Australia,Science,Intermediate,28,52,3371,27,130,40,0,89,76,300,1,0
S272,28,School,UK,AI/ML,Beginner,98,10,2970,56,117,7,11,39,81,100,1,1
S273,30,UG,USA,Science,Intermediate,45,23,5424,38,24,32,9,91,43,200,1,0
S274,36,PG,USA,Science,Beginner,21,10,3378,29,51,18,9,84,84,200,1,0
S275,18,Diploma,UK,Science,Beginner,47,45,1565,46,123,5,10,66,79,300,0,0
S276,25,UG,Canada,Science,Beginner,1,48,2417,57,89,12,3,48,50,200,1,0
S277,35,UG,USA,Science,Beginner,68,68,2969,16,11,15,11,59,63,300,0,0
S278,40,Diploma,Australia,AI/ML,Beginner,96,66,607,1,69,20,5,8,71,0,1,0
S279,26,School,India,AI/ML,Intermediate,82,27,3785,57,72,3,2,34,49,200,1,0
S280,37,School,Canada,Coding,Advanced,62,62,688,59,38,38,6,13,50,300,0,1
S281,40,School,India,Science,Beginner,57,75,4097,32,123,27,2,91,38,200,1,0
S282,25,Diploma,Canada,Science,Beginner,5,75,945,58,70,34,3,6,38,100,1,1
S283,19,Diploma,India,Business,Advanced,47,23,2717,34,128,8,7,54,46,0,1,0
S284,18,PG,India,Science,Intermediate,8,47,2662,37,133,40,4,42,33,200,0,1
S285,27,School,USA,Science,Intermediate,62,30,4985,1,11,12,14,0,65,0,1,0
S286,40,School,Canada,Science,Intermediate,19,26,241,29,105,37,1,17,57,100,0,0
S287,36,PG,Canada,AI/ML,Beginner,28,35,3395,47,30,11,4,72,60,0,0,0
S288,21,School,Canada,Business,Advanced,56,87,2890,4,69,24,14,17,36,0,1,0
S289,22,School,USA,Business,Advanced,99,89,2132,53,8,31,11,55,52,200,0,0
S290,40,School,USA,Science,Beginner,8,14,5592,25,61,34,5,56,71,0,0,0
S291,38,School,Australia,Science,Intermediate,74,52,5017,48,42,12,12,59,51,200,0,0
S292,19,School,India,Science,Advanced,100,48,5709,19,147,17,14,10,79,0,0,1
S293,40,UG,USA,Science,Beginner,69,64,4354,17,141,5,8,60,32,0,1,0
S294,45,Diploma,Canada,Science,Advanced,1,31,701,57,132,16,10,81,57,100,1,1
S295,40,UG,UK,AI/ML,Intermediate,13,72,1616,13,4,24,12,66,91,0,0,1
S296,45,PG,India,Science,Beginner,44,49,4783,40,77,18,11,72,32,0,1,0
S297,39,UG,Australia,Science,Beginner,36,24,2217,54,114,30,7,0,88,100,1,0
S298,38,UG,India,Business,Intermediate,32,80,5429,58,45,28,14,51,49,0,0,1
S299,36,School,India,Science,Beginner,21,84,4508,28,72,27,5,65,26,200,0,0
S300,18,School,Australia,Business,Advanced,65,79,4665,49,121,23,5,5,36,0,1,1
S301,35,School,UK,Math,Beginner,53,59,3748,31,32,38,10,62,30,300,0,0
S302,43,School,USA,Business,Advanced,68,83,3171,2,53,19,9,52,74,300,1,0
S303,30,PG,USA,Coding,Advanced,8,10,817,59,127,5,6,51,60,100,1,1
S304,32,PG,India,AI/ML,Beginner,27,88,2345,54,135,7,2,43,83,100,1,0
S305,42,Diploma,Canada,Math,Beginner,84,21,1293,51,32,4,12,63,74,200,1,0
